index,Scope,Level 1,Activity,Type,Unit,Size
31710,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),tonne.km,
31711,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),km,
31712,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),miles,
31713,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),tonne.km,
31714,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),km,
31715,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),miles,
31716,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),tonne.km,
31717,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),km,
31718,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),miles,
31719,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),tonne.km,
317110,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),km,
317111,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),miles,
31720,Scope 3,Freighting goods,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),tonne.km,
31721,Scope 3,Freighting goods,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),km,
31722,Scope 3,Freighting goods,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),miles,
31723,Scope 3,Freighting goods,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),tonne.km,
31724,Scope 3,Freighting goods,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),km,
31725,Scope 3,Freighting goods,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),miles,
31726,Scope 3,Freighting goods,HGV (all diesel),Rigid (>17 tonnes),tonne.km,
31727,Scope 3,Freighting goods,HGV (all diesel),Rigid (>17 tonnes),km,
31728,Scope 3,Freighting goods,HGV (all diesel),Rigid (>17 tonnes),miles,
31729,Scope 3,Freighting goods,HGV (all diesel),All rigids,tonne.km,
317210,Scope 3,Freighting goods,HGV (all diesel),All rigids,km,
317211,Scope 3,Freighting goods,HGV (all diesel),All rigids,miles,
317212,Scope 3,Freighting goods,HGV (all diesel),Articulated (>3.5 - 33t),tonne.km,
317213,Scope 3,Freighting goods,HGV (all diesel),Articulated (>3.5 - 33t),km,
317214,Scope 3,Freighting goods,HGV (all diesel),Articulated (>3.5 - 33t),miles,
317215,Scope 3,Freighting goods,HGV (all diesel),Articulated (>33t),tonne.km,
317216,Scope 3,Freighting goods,HGV (all diesel),Articulated (>33t),km,
317217,Scope 3,Freighting goods,HGV (all diesel),Articulated (>33t),miles,
317218,Scope 3,Freighting goods,HGV (all diesel),All artics,tonne.km,
317219,Scope 3,Freighting goods,HGV (all diesel),All artics,km,
317220,Scope 3,Freighting goods,HGV (all diesel),All artics,miles,
317221,Scope 3,Freighting goods,HGV (all diesel),All HGVs,tonne.km,
317222,Scope 3,Freighting goods,HGV (all diesel),All HGVs,km,
317223,Scope 3,Freighting goods,HGV (all diesel),All HGVs,miles,
31730,Scope 3,Freighting goods,HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),tonne.km,
31731,Scope 3,Freighting goods,HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),km,
31732,Scope 3,Freighting goods,HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),miles,
31733,Scope 3,Freighting goods,HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),tonne.km,
31734,Scope 3,Freighting goods,HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),km,
31735,Scope 3,Freighting goods,HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),miles,
31736,Scope 3,Freighting goods,HGV refrigerated (all diesel),Rigid (>17 tonnes),tonne.km,
