index,Scope,Level 1,Activity,Emission,Last level,UOM,GHG/Unit,GHG Conversion Factor
1310,Scope 1,Refrigerant & other,Kyoto protocol products,Carbon dioxide,Emissions including only Kyoto products,kg,kg CO2e,1.0
1311,Scope 1,Refrigerant & other,Kyoto protocol products,Methane,Emissions including only Kyoto products,kg,kg CO2e,28.0
1312,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrous oxide,Emissions including only Kyoto products,kg,kg CO2e,265.0
1313,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-23,Emissions including only Kyoto products,kg,kg CO2e,12400.0
1314,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-32,Emissions including only Kyoto products,kg,kg CO2e,677.0
1315,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-41,Emissions including only Kyoto products,kg,kg CO2e,116.0
1316,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-125,Emissions including only Kyoto products,kg,kg CO2e,3170.0
1317,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134,Emissions including only Kyoto products,kg,kg CO2e,1120.0
1318,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134a,Emissions including only Kyoto products,kg,kg CO2e,1300.0
1319,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143,Emissions including only Kyoto products,kg,kg CO2e,328.0
13110,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143a,Emissions including only Kyoto products,kg,kg CO2e,4800.0
13111,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152a,Emissions including only Kyoto products,kg,kg CO2e,138.0
13112,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-227ea,Emissions including only Kyoto products,kg,kg CO2e,3350.0
13113,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236fa,Emissions including only Kyoto products,kg,kg CO2e,8060.0
13114,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245fa,Emissions including only Kyoto products,kg,kg CO2e,858.0
13115,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-43-I0mee,Emissions including only Kyoto products,kg,kg CO2e,1650.0
13116,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoromethane (PFC-14),Emissions including only Kyoto products,kg,kg CO2e,6630.0
13117,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoroethane (PFC-116),Emissions including only Kyoto products,kg,kg CO2e,11100.0
13118,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropropane (PFC-218),Emissions including only Kyoto products,kg,kg CO2e,8900.0
13119,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclobutane (PFC-318),Emissions including only Kyoto products,kg,kg CO2e,9540.0
13120,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorobutane (PFC-3-1-10),Emissions including only Kyoto products,kg,kg CO2e,9200.0
13121,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropentane (PFC-4-1-12),Emissions including only Kyoto products,kg,kg CO2e,8550.0
13122,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorohexane (PFC-5-1-14),Emissions including only Kyoto products,kg,kg CO2e,7910.0
13123,Scope 1,Refrigerant & other,Kyoto protocol products,PFC-9-1-18,Emissions including only Kyoto products,kg,kg CO2e,7190.0
13124,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclopropane,Emissions including only Kyoto products,kg,kg CO2e,9200.0
13125,Scope 1,Refrigerant & other,Kyoto protocol products,Sulphur hexafluoride (SF6),Emissions including only Kyoto products,kg,kg CO2e,23500.0
13126,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152,Emissions including only Kyoto products,kg,kg CO2e,16.0
13127,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-161,Emissions including only Kyoto products,kg,kg CO2e,4.0
13128,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236cb,Emissions including only Kyoto products,kg,kg CO2e,1210.0
13129,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236ea,Emissions including only Kyoto products,kg,kg CO2e,1330.0
13130,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245ca,Emissions including only Kyoto products,kg,kg CO2e,716.0
13131,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-365mfc,Emissions including only Kyoto products,kg,kg CO2e,804.0
13132,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrogen trifluoride,Emissions including only Kyoto products,kg,kg CO2e,16100.0
1310,Scope 1,Refrigerant & other,Kyoto protocol products,Carbon dioxide,Emissions including only non-Kyoto products,kg,kg CO2e,
1311,Scope 1,Refrigerant & other,Kyoto protocol products,Methane,Emissions including only non-Kyoto products,kg,kg CO2e,
1312,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrous oxide,Emissions including only non-Kyoto products,kg,kg CO2e,
1313,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-23,Emissions including only non-Kyoto products,kg,kg CO2e,
1314,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-32,Emissions including only non-Kyoto products,kg,kg CO2e,
1315,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-41,Emissions including only non-Kyoto products,kg,kg CO2e,
1316,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-125,Emissions including only non-Kyoto products,kg,kg CO2e,
1317,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134,Emissions including only non-Kyoto products,kg,kg CO2e,
1318,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134a,Emissions including only non-Kyoto products,kg,kg CO2e,
