index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
2410,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,km,kWh (net),
2411,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,miles,kWh (net),
2412,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,km,kWh (net),0.13599
2413,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,miles,kWh (net),0.21885
2414,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,km,kWh (net),0.05035
2415,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,miles,kWh (net),0.08103
2416,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,km,kWh (net),0.05403
2417,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,miles,kWh (net),0.08696
2418,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,km,kWh (net),0.04412
2419,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,miles,kWh (net),0.07101
24110,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,km,kWh (net),0.05159
24111,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,miles,kWh (net),0.08303
24112,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,km,kWh (net),0.03764
24113,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,miles,kWh (net),0.06057
24114,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,km,kWh (net),0.07385
24115,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,miles,kWh (net),0.11886
24116,Scope 2,SECR kWh UK electricity for EVs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,km,kWh (net),0.09345
