index,Scope,Level 1,Activity,Waste type,Last level,UOM,GHG/Unit,GHG Conversion Factor
31010,Scope 3,Waste disposal,Construction,Aggregates,Open-loop,tonnes,kg CO2e,1.00835
31011,Scope 3,Waste disposal,Construction,Average construction,Open-loop,tonnes,kg CO2e,1.00835
31012,Scope 3,Waste disposal,Construction,Asbestos,Open-loop,tonnes,kg CO2e,
31013,Scope 3,Waste disposal,Construction,Asphalt,Open-loop,tonnes,kg CO2e,1.00835
31014,Scope 3,Waste disposal,Construction,Bricks,Open-loop,tonnes,kg CO2e,1.00835
31015,Scope 3,Waste disposal,Construction,Concrete,Open-loop,tonnes,kg CO2e,1.00835
31016,Scope 3,Waste disposal,Construction,Insulation,Open-loop,tonnes,kg CO2e,
31017,Scope 3,Waste disposal,Construction,Metals,Open-loop,tonnes,kg CO2e,
31018,Scope 3,Waste disposal,Construction,Soils,Open-loop,tonnes,kg CO2e,
31019,Scope 3,Waste disposal,Construction,Mineral oil,Open-loop,tonnes,kg CO2e,
310110,Scope 3,Waste disposal,Construction,Plasterboard,Open-loop,tonnes,kg CO2e,
310111,Scope 3,Waste disposal,Construction,Tyres,Open-loop,tonnes,kg CO2e,
310112,Scope 3,Waste disposal,Construction,Wood,Open-loop,tonnes,kg CO2e,
31010,Scope 3,Waste disposal,Construction,Aggregates,Closed-loop,tonnes,kg CO2e,1.00835
31011,Scope 3,Waste disposal,Construction,Average construction,Closed-loop,tonnes,kg CO2e,1.00835
31012,Scope 3,Waste disposal,Construction,Asbestos,Closed-loop,tonnes,kg CO2e,
31013,Scope 3,Waste disposal,Construction,Asphalt,Closed-loop,tonnes,kg CO2e,1.00835
31014,Scope 3,Waste disposal,Construction,Bricks,Closed-loop,tonnes,kg CO2e,
31015,Scope 3,Waste disposal,Construction,Concrete,Closed-loop,tonnes,kg CO2e,1.00835
31016,Scope 3,Waste disposal,Construction,Insulation,Closed-loop,tonnes,kg CO2e,1.00835
31017,Scope 3,Waste disposal,Construction,Metals,Closed-loop,tonnes,kg CO2e,1.00835
31018,Scope 3,Waste disposal,Construction,Soils,Closed-loop,tonnes,kg CO2e,1.00835
31019,Scope 3,Waste disposal,Construction,Mineral oil,Closed-loop,tonnes,kg CO2e,4.68568
310110,Scope 3,Waste disposal,Construction,Plasterboard,Closed-loop,tonnes,kg CO2e,4.68568
310111,Scope 3,Waste disposal,Construction,Tyres,Closed-loop,tonnes,kg CO2e,4.68568
