index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
31610,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,Diesel,km,kg CO2e,0.02613
31611,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,Diesel,miles,kg CO2e,0.04205
31612,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,Diesel,km,kg CO2e,0.03208
31613,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,Diesel,miles,kg CO2e,0.05162
31614,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,Diesel,km,kg CO2e,0.03482
31615,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,Diesel,miles,kg CO2e,0.05603
31616,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,Diesel,km,kg CO2e,0.03915
31617,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,Diesel,miles,kg CO2e,0.06301
31618,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,Diesel,km,kg CO2e,0.0415
31619,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,Diesel,miles,kg CO2e,0.06679
316110,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,Diesel,km,kg CO2e,0.05061
316111,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,Diesel,miles,kg CO2e,0.08145
316112,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,Diesel,km,kg CO2e,0.04154
316113,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,Diesel,miles,kg CO2e,0.06686
316114,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,Diesel,km,kg CO2e,0.0483
316115,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,Diesel,miles,kg CO2e,0.07773
316116,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,Diesel,km,kg CO2e,0.04335
316117,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,Diesel,miles,kg CO2e,0.06977
31610,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,Petrol,km,kg CO2e,0.03655
31611,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,Petrol,miles,kg CO2e,0.05881
31612,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,Petrol,km,kg CO2e,0.04019
31613,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,Petrol,miles,kg CO2e,0.06469
31614,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,Petrol,km,kg CO2e,0.04582
31615,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,Petrol,miles,kg CO2e,0.07375
31616,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,Petrol,km,kg CO2e,0.05301
31617,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,Petrol,miles,kg CO2e,0.08531
31618,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,Petrol,km,kg CO2e,0.05824
