index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor,Size
31710,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,tonne.km,kg CO2e,0.87423,
31711,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,km,kg CO2e,0.15738,
31712,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,miles,kg CO2e,0.25329,
31713,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,tonne.km,kg CO2e,0.62562,
31714,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,km,kg CO2e,0.1926,
31715,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,miles,kg CO2e,0.30996,
31716,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,tonne.km,kg CO2e,0.62849,
31717,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,km,kg CO2e,0.27878,
31718,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,miles,kg CO2e,0.44866,
31719,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,tonne.km,kg CO2e,0.6313,
317110,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,km,kg CO2e,0.25561,
317111,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,miles,kg CO2e,0.41138,
31710,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,tonne.km,kg CO2e of CO2 per unit,0.86501,
31711,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,km,kg CO2e of CO2 per unit,0.15572,
31712,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,miles,kg CO2e of CO2 per unit,0.25061,
31713,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,tonne.km,kg CO2e of CO2 per unit,0.61993,
31714,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,km,kg CO2e of CO2 per unit,0.19094,
31715,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,miles,kg CO2e of CO2 per unit,0.30728,
31716,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,tonne.km,kg CO2e of CO2 per unit,0.62478,
31717,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,km,kg CO2e of CO2 per unit,0.27712,
31718,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,miles,kg CO2e of CO2 per unit,0.44598,
31719,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,tonne.km,kg CO2e of CO2 per unit,0.62715,
317110,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,km,kg CO2e of CO2 per unit,0.25395,
317111,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,miles,kg CO2e of CO2 per unit,0.4087,
31710,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,tonne.km,kg CO2e of CH4 per unit,2e-05,
31711,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,km,kg CO2e of CH4 per unit,4.860776705385985e-06,
31712,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),Diesel,miles,kg CO2e of CH4 per unit,1e-05,
31713,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,tonne.km,kg CO2e of CH4 per unit,1e-05,
31714,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,km,kg CO2e of CH4 per unit,4.860776705385985e-06,
31715,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),Diesel,miles,kg CO2e of CH4 per unit,1e-05,
31716,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,tonne.km,kg CO2e of CH4 per unit,1e-05,
31717,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,km,kg CO2e of CH4 per unit,4.860776705385985e-06,
31718,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),Diesel,miles,kg CO2e of CH4 per unit,1e-05,
31719,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,tonne.km,kg CO2e of CH4 per unit,1e-05,
317110,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,km,kg CO2e of CH4 per unit,4.860776705385985e-06,
317111,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),Diesel,miles,kg CO2e of CH4 per unit,1e-05,
