index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor,Size
31810,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Diesel,tonne.km,kg CO2e,0.20817,
31811,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Diesel,km,kg CO2e,0.03746,
31812,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Diesel,miles,kg CO2e,0.06028,
31813,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Diesel,tonne.km,kg CO2e,0.14937,
31814,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Diesel,km,kg CO2e,0.04602,
31815,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Diesel,miles,kg CO2e,0.07407,
31816,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Diesel,tonne.km,kg CO2e,0.15037,
31817,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Diesel,km,kg CO2e,0.06706,
31818,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Diesel,miles,kg CO2e,0.10792,
31819,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Diesel,tonne.km,kg CO2e,0.15095,
318110,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Diesel,km,kg CO2e,0.06128,
318111,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Diesel,miles,kg CO2e,0.09863,
31810,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Petrol,tonne.km,kg CO2e,0.32847,
31811,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Petrol,km,kg CO2e,0.05614,
31812,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Petrol,miles,kg CO2e,0.09035,
31813,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Petrol,tonne.km,kg CO2e,0.23153,
31814,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Petrol,km,kg CO2e,0.06074,
31815,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Petrol,miles,kg CO2e,0.09775,
31816,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Petrol,tonne.km,kg CO2e,0.24164,
31817,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Petrol,km,kg CO2e,0.09783,
31818,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Petrol,miles,kg CO2e,0.15745,
31819,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Petrol,tonne.km,kg CO2e,0.22943,
318110,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Petrol,km,kg CO2e,0.06183,
318111,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Petrol,miles,kg CO2e,0.0995,
31810,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),CNG,tonne.km,kg CO2e,,
31811,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),CNG,km,kg CO2e,,
31812,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),CNG,miles,kg CO2e,,
31813,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),CNG,tonne.km,kg CO2e,,
31814,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),CNG,km,kg CO2e,,
31815,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),CNG,miles,kg CO2e,,
31816,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),CNG,tonne.km,kg CO2e,,
31817,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),CNG,km,kg CO2e,,
31818,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),CNG,miles,kg CO2e,,
