index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Diesel,km,kg CO2e,0.10996
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Diesel,miles,kg CO2e,0.17696
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Diesel,km,kg CO2e,0.13452
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Diesel,miles,kg CO2e,0.21649
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Diesel,km,kg CO2e,0.14517
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Diesel,miles,kg CO2e,0.23363
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Diesel,km,kg CO2e,0.16194
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Diesel,miles,kg CO2e,0.26063
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Diesel,km,kg CO2e,0.17088
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Diesel,miles,kg CO2e,0.27501
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Diesel,km,kg CO2e,0.20632
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Diesel,miles,kg CO2e,0.33205
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Diesel,km,kg CO2e,0.17323
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Diesel,miles,kg CO2e,0.27879
321114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Diesel,km,kg CO2e,0.19973
321115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Dual purpose 4X4,Diesel,miles,kg CO2e,0.32145
321116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Diesel,km,kg CO2e,0.18072
321117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),MPV,Diesel,miles,kg CO2e,0.29085
32110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Diesel,km,kg CO2e of CO2 per unit,0.10828
32111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Mini,Diesel,miles,kg CO2e of CO2 per unit,0.17425
32112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Diesel,km,kg CO2e of CO2 per unit,0.13284
32113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Supermini,Diesel,miles,kg CO2e of CO2 per unit,0.21378
32114,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Diesel,km,kg CO2e of CO2 per unit,0.14349
32115,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Lower medium,Diesel,miles,kg CO2e of CO2 per unit,0.23092
32116,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Diesel,km,kg CO2e of CO2 per unit,0.16026
32117,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Upper medium,Diesel,miles,kg CO2e of CO2 per unit,0.25792
32118,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Diesel,km,kg CO2e of CO2 per unit,0.1692
32119,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Executive,Diesel,miles,kg CO2e of CO2 per unit,0.2723
321110,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Diesel,km,kg CO2e of CO2 per unit,0.20464
321111,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Luxury,Diesel,miles,kg CO2e of CO2 per unit,0.32934
321112,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Diesel,km,kg CO2e of CO2 per unit,0.17155
321113,Scope 3,Managed assets- vehicles,Managed cars (by market segment),Sports,Diesel,miles,kg CO2e of CO2 per unit,0.27608
