index,Scope,Level 1,Activity,Fuel,Unit
1210,Scope 1,Bioenergy,Biofuel,Bioethanol,litres
1211,Scope 1,Bioenergy,Biofuel,Bioethanol,GJ
1212,Scope 1,Bioenergy,Biofuel,Bioethanol,kg
1213,Scope 1,Bioenergy,Biofuel,Biodiesel ME,litres
1214,Scope 1,Bioenergy,Biofuel,Biodiesel ME,GJ
1215,Scope 1,Bioenergy,Biofuel,Biodiesel ME,kg
1216,Scope 1,Bioenergy,Biofuel,Biomethane (compressed),litres
1217,Scope 1,Bioenergy,Biofuel,Biomethane (compressed),GJ
1218,Scope 1,Bioenergy,Biofuel,Biomethane (compressed),kg
1219,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),litres
12110,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),GJ
12111,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),kg
12112,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from tallow),litres
12113,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from tallow),GJ
12114,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from tallow),kg
12115,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,litres
12116,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,GJ
12117,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,kg
12118,Scope 1,Bioenergy,Biofuel,Biopropane,litres
12119,Scope 1,Bioenergy,Biofuel,Biopropane,GJ
12120,Scope 1,Bioenergy,Biofuel,Biopropane,kg
12121,Scope 1,Bioenergy,Biofuel,Development diesel,litres
12122,Scope 1,Bioenergy,Biofuel,Development diesel,GJ
12123,Scope 1,Bioenergy,Biofuel,Development diesel,kg
12124,Scope 1,Bioenergy,Biofuel,Development petrol,litres
12125,Scope 1,Bioenergy,Biofuel,Development petrol,GJ
12126,Scope 1,Bioenergy,Biofuel,Development petrol,kg
12127,Scope 1,Bioenergy,Biofuel,Off road biodiesel,litres
12128,Scope 1,Bioenergy,Biofuel,Off road biodiesel,GJ
12129,Scope 1,Bioenergy,Biofuel,Off road biodiesel,kg
12130,Scope 1,Bioenergy,Biofuel,Biomethane (liquified),litres
12131,Scope 1,Bioenergy,Biofuel,Biomethane (liquified),GJ
12132,Scope 1,Bioenergy,Biofuel,Biomethane (liquified),kg
12133,Scope 1,Bioenergy,Biofuel,Methanol (bio),litres
12134,Scope 1,Bioenergy,Biofuel,Methanol (bio),GJ
12135,Scope 1,Bioenergy,Biofuel,Methanol (bio),kg
12136,Scope 1,Bioenergy,Biofuel,Avtur (renewable),litres
12137,Scope 1,Bioenergy,Biofuel,Avtur (renewable),GJ
12138,Scope 1,Bioenergy,Biofuel,Avtur (renewable),kg
1220,Scope 1,Bioenergy,Biomass,Wood logs,tonnes
1221,Scope 1,Bioenergy,Biomass,Wood logs,kWh
1222,Scope 1,Bioenergy,Biomass,Wood chips,tonnes
1223,Scope 1,Bioenergy,Biomass,Wood chips,kWh
1224,Scope 1,Bioenergy,Biomass,Wood pellets,tonnes
1225,Scope 1,Bioenergy,Biomass,Wood pellets,kWh
1226,Scope 1,Bioenergy,Biomass,Grass/straw,tonnes
1227,Scope 1,Bioenergy,Biomass,Grass/straw,kWh
1230,Scope 1,Bioenergy,Biogas,Biogas,tonnes
1231,Scope 1,Bioenergy,Biogas,Biogas,kWh
1232,Scope 1,Bioenergy,Biogas,Landfill gas,tonnes
1233,Scope 1,Bioenergy,Biogas,Landfill gas,kWh
