index,Last level,GHG/Unit,GHG Conversion Factor
1510,Diesel,kg CO2e,0.15738
1511,Diesel,kg CO2e,0.25329
1512,Diesel,kg CO2e,0.1926
1513,Diesel,kg CO2e,0.30996
1514,Diesel,kg CO2e,0.27878
1515,Diesel,kg CO2e,0.44866
1516,Diesel,kg CO2e,0.25561
1517,Diesel,kg CO2e,0.41138
1510,Diesel,kg CO2e of CO2 per unit,0.15572
1511,Diesel,kg CO2e of CO2 per unit,0.25061
1512,Diesel,kg CO2e of CO2 per unit,0.19094
1513,Diesel,kg CO2e of CO2 per unit,0.30728
1514,Diesel,kg CO2e of CO2 per unit,0.27712
1515,Diesel,kg CO2e of CO2 per unit,0.44598
1516,Diesel,kg CO2e of CO2 per unit,0.25395
1517,Diesel,kg CO2e of CO2 per unit,0.4087
1510,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
1511,Diesel,kg CO2e of CH4 per unit,1e-05
1512,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
1513,Diesel,kg CO2e of CH4 per unit,1e-05
1514,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
1515,Diesel,kg CO2e of CH4 per unit,1e-05
1516,Diesel,kg CO2e of CH4 per unit,4.860776705385985e-06
1517,Diesel,kg CO2e of CH4 per unit,1e-05
1510,Diesel,kg CO2e of N2O per unit,0.00165
1511,Diesel,kg CO2e of N2O per unit,0.00267
1512,Diesel,kg CO2e of N2O per unit,0.00165
1513,Diesel,kg CO2e of N2O per unit,0.00267
1514,Diesel,kg CO2e of N2O per unit,0.00165
1515,Diesel,kg CO2e of N2O per unit,0.00267
1516,Diesel,kg CO2e of N2O per unit,0.00165
1517,Diesel,kg CO2e of N2O per unit,0.00267
1510,Petrol,kg CO2e,0.20188
1511,Petrol,kg CO2e,0.3249
1512,Petrol,kg CO2e,0.20874
1513,Petrol,kg CO2e,0.33594
1514,Petrol,kg CO2e,0.33845
1515,Petrol,kg CO2e,0.54468
1516,Petrol,kg CO2e,0.21335
1517,Petrol,kg CO2e,0.34336
1510,Petrol,kg CO2e of CO2 per unit,0.20118
