index,GHG/Unit,GHG Conversion Factor
1110,kg CO2e,3033.38067
1111,kg CO2e,1.74533
1112,kg CO2e,0.24107
1113,kg CO2e,0.22241
1114,kg CO2e,2575.46441
1115,kg CO2e,0.4507
1116,kg CO2e,0.2027
1117,kg CO2e,0.18296
1118,kg CO2e,2603.30441
1119,kg CO2e,1.17797
11110,kg CO2e,0.20489
11111,kg CO2e,0.18494
11112,kg CO2e,2939.36095
11113,kg CO2e,1.55713
11114,kg CO2e,0.23032
11115,kg CO2e,0.2145
11116,kg CO2e,2575.46441
11117,kg CO2e,2.06672
11118,kg CO2e,0.2027
11119,kg CO2e,0.18296
11120,kg CO2e,2603.30441
11121,kg CO2e,2.08906
11122,kg CO2e,0.20489
11123,kg CO2e,0.18494
11124,kg CO2e,2578.24647
11125,kg CO2e,0.94442
11126,kg CO2e,0.19917
11127,kg CO2e,0.18323
11128,kg CO2e,2997.63233
11129,kg CO2e,1.54358
11130,kg CO2e,0.23258
11131,kg CO2e,0.2141
1110,kg CO2e of CO2 per unit,3029.26
1111,kg CO2e of CO2 per unit,1.74296
1112,kg CO2e of CO2 per unit,0.24074
1113,kg CO2e of CO2 per unit,0.2221
1114,kg CO2e of CO2 per unit,2570.42
1115,kg CO2e of CO2 per unit,0.44982
1116,kg CO2e of CO2 per unit,0.20229
1117,kg CO2e of CO2 per unit,0.18259
1118,kg CO2e of CO2 per unit,2598.26
1119,kg CO2e of CO2 per unit,1.17568
11110,kg CO2e of CO2 per unit,0.20448
11111,kg CO2e of CO2 per unit,0.18457
11112,kg CO2e of CO2 per unit,2935.18
11113,kg CO2e of CO2 per unit,1.55491
11114,kg CO2e of CO2 per unit,0.22999
11115,kg CO2e of CO2 per unit,0.21419
11116,kg CO2e of CO2 per unit,2570.42
11117,kg CO2e of CO2 per unit,2.0627
11118,kg CO2e of CO2 per unit,0.20229
11119,kg CO2e of CO2 per unit,0.18259
11120,kg CO2e of CO2 per unit,2598.26
11121,kg CO2e of CO2 per unit,2.08504
11122,kg CO2e of CO2 per unit,0.20448
11123,kg CO2e of CO2 per unit,0.18457
11124,kg CO2e of CO2 per unit,2575.7
11125,kg CO2e of CO2 per unit,0.94348
11126,kg CO2e of CO2 per unit,0.19897
11127,kg CO2e of CO2 per unit,0.18305
11128,kg CO2e of CO2 per unit,2993.4
11129,kg CO2e of CO2 per unit,1.5414
11130,kg CO2e of CO2 per unit,0.23225
11131,kg CO2e of CO2 per unit,0.21381
1110,kg CO2e of CH4 per unit,2.52
1111,kg CO2e of CH4 per unit,0.00144
1112,kg CO2e of CH4 per unit,0.0002
1113,kg CO2e of CH4 per unit,0.00019
1114,kg CO2e of CH4 per unit,3.8528
1115,kg CO2e of CH4 per unit,0.00067
1116,kg CO2e of CH4 per unit,0.00031
1117,kg CO2e of CH4 per unit,0.00028
1118,kg CO2e of CH4 per unit,3.8528
1119,kg CO2e of CH4 per unit,0.00175
11110,kg CO2e of CH4 per unit,0.00031
11111,kg CO2e of CH4 per unit,0.00028
11112,kg CO2e of CH4 per unit,2.5536
11113,kg CO2e of CH4 per unit,0.00136
11114,kg CO2e of CH4 per unit,0.0002
11115,kg CO2e of CH4 per unit,0.00019
11116,kg CO2e of CH4 per unit,3.8528
11117,kg CO2e of CH4 per unit,0.00307
11118,kg CO2e of CH4 per unit,0.00031
11119,kg CO2e of CH4 per unit,0.00028
11120,kg CO2e of CH4 per unit,3.8528
11121,kg CO2e of CH4 per unit,0.00307
11122,kg CO2e of CH4 per unit,0.00031
11123,kg CO2e of CH4 per unit,0.00028
11124,kg CO2e of CH4 per unit,1.3104
11125,kg CO2e of CH4 per unit,0.00048
11126,kg CO2e of CH4 per unit,0.0001
11127,kg CO2e of CH4 per unit,9e-05
11128,kg CO2e of CH4 per unit,2.5872
11129,kg CO2e of CH4 per unit,0.00133
11130,kg CO2e of CH4 per unit,0.0002
11131,kg CO2e of CH4 per unit,0.00018
1110,kg CO2e of N2O per unit,1.60067
1111,kg CO2e of N2O per unit,0.00092
1112,kg CO2e of N2O per unit,0.00012
1113,kg CO2e of N2O per unit,0.00012
1114,kg CO2e of N2O per unit,1.19161
1115,kg CO2e of N2O per unit,0.0002
1116,kg CO2e of N2O per unit,0.0001
1117,kg CO2e of N2O per unit,9e-05
1118,kg CO2e of N2O per unit,1.19161
1119,kg CO2e of N2O per unit,0.00054
11110,kg CO2e of N2O per unit,0.0001
11111,kg CO2e of N2O per unit,9e-05
11112,kg CO2e of N2O per unit,1.62735
11113,kg CO2e of N2O per unit,0.00086
11114,kg CO2e of N2O per unit,0.00012
11115,kg CO2e of N2O per unit,0.00012
11116,kg CO2e of N2O per unit,1.19161
11117,kg CO2e of N2O per unit,0.00095
11118,kg CO2e of N2O per unit,0.0001
11119,kg CO2e of N2O per unit,9e-05
11120,kg CO2e of N2O per unit,1.19161
11121,kg CO2e of N2O per unit,0.00095
11122,kg CO2e of N2O per unit,0.0001
11123,kg CO2e of N2O per unit,9e-05
11124,kg CO2e of N2O per unit,1.23607
11125,kg CO2e of N2O per unit,0.00045
11126,kg CO2e of N2O per unit,0.0001
11127,kg CO2e of N2O per unit,9e-05
11128,kg CO2e of N2O per unit,1.64513
11129,kg CO2e of N2O per unit,0.00084
11130,kg CO2e of N2O per unit,0.00012
11131,kg CO2e of N2O per unit,0.00012
1120,kg CO2e,3193.6948
1121,kg CO2e,2.33116
1122,kg CO2e,0.25666
1123,kg CO2e,0.24382
1124,kg CO2e,3178.3652
1125,kg CO2e,2.54269
1126,kg CO2e,0.26061
1127,kg CO2e,0.24758
1128,kg CO2e,3165.04181
1129,kg CO2e,2.54016
11210,kg CO2e,0.25975
11211,kg CO2e,0.24677
11212,kg CO2e,3087.94462
11213,kg CO2e,2.57082
11214,kg CO2e,0.25953
11215,kg CO2e,0.24411
11216,kg CO2e,3203.91143
11217,kg CO2e,2.66155
11218,kg CO2e,0.26808
11219,kg CO2e,0.25199
11220,kg CO2e,3228.89019
11221,kg CO2e,3.17492
11222,kg CO2e,0.28523
11223,kg CO2e,0.26813
11224,kg CO2e,3226.57859
11225,kg CO2e,2.75541
11226,kg CO2e,0.27288
11227,kg CO2e,0.2565
11228,kg CO2e,3180.99992
11229,kg CO2e,2.74934
11230,kg CO2e,0.281
11231,kg CO2e,0.26414
11232,kg CO2e,3142.3789
11233,kg CO2e,2.11894
11234,kg CO2e,0.24891
11235,kg CO2e,0.23647
11236,kg CO2e,2772.97935
11237,kg CO2e,2.06916
11238,kg CO2e,0.23181
11239,kg CO2e,0.21956
11240,kg CO2e,3154.08213
11241,kg CO2e,2.33984
11242,kg CO2e,0.25431
11243,kg CO2e,0.24159
11244,kg CO2e,3228.89019
11245,kg CO2e,3.17492
11246,kg CO2e,0.28523
11247,kg CO2e,0.26813
11248,kg CO2e,3226.57859
11249,kg CO2e,2.75541
11250,kg CO2e,0.27288
11251,kg CO2e,0.2565
11252,kg CO2e,2944.32093
11253,kg CO2e,
11254,kg CO2e,0.25961
11255,kg CO2e,0.24663
11256,kg CO2e,3219.37916
11257,kg CO2e,2.74924
11258,kg CO2e,0.27459
11259,kg CO2e,0.25641
11260,kg CO2e,3245.30441
11261,kg CO2e,2.77139
11262,kg CO2e,0.27445
11263,kg CO2e,0.25798
11264,kg CO2e,3154.75334
11265,kg CO2e,3.10202
11266,kg CO2e,0.27869
11267,kg CO2e,0.26197
1120,kg CO2e of CO2 per unit,3127.67
1121,kg CO2e of CO2 per unit,2.28297
1122,kg CO2e of CO2 per unit,0.25135
1123,kg CO2e of CO2 per unit,0.23878
1124,kg CO2e of CO2 per unit,3149.67
1125,kg CO2e of CO2 per unit,2.51973
1126,kg CO2e of CO2 per unit,0.25826
1127,kg CO2e of CO2 per unit,0.24535
1128,kg CO2e of CO2 per unit,3149.67
1129,kg CO2e of CO2 per unit,2.52782
11210,kg CO2e of CO2 per unit,0.25849
11211,kg CO2e of CO2 per unit,0.24557
11212,kg CO2e of CO2 per unit,3048.71
11213,kg CO2e of CO2 per unit,2.53763
11214,kg CO2e of CO2 per unit,0.2562
11215,kg CO2e of CO2 per unit,0.24098
11216,kg CO2e of CO2 per unit,3164.33
11217,kg CO2e of CO2 per unit,2.62818
11218,kg CO2e of CO2 per unit,0.26475
11219,kg CO2e of CO2 per unit,0.24887
11220,kg CO2e of CO2 per unit,3216.38
11221,kg CO2e of CO2 per unit,3.16262
11222,kg CO2e of CO2 per unit,0.28413
11223,kg CO2e of CO2 per unit,0.26709
11224,kg CO2e of CO2 per unit,3190.0
11225,kg CO2e of CO2 per unit,2.72417
11226,kg CO2e of CO2 per unit,0.26978
