index,Scope,Level 1,Activity,Fuel,Unit
1110,Scope 1,Fuels,Gaseous fuels,Butane,tonnes
1111,Scope 1,Fuels,Gaseous fuels,Butane,litres
1112,Scope 1,Fuels,Gaseous fuels,Butane,kWh (Net CV)
1113,Scope 1,Fuels,Gaseous fuels,Butane,kWh (Gross CV)
1114,Scope 1,Fuels,Gaseous fuels,CNG,tonnes
1115,Scope 1,Fuels,Gaseous fuels,CNG,litres
1116,Scope 1,Fuels,Gaseous fuels,CNG,kWh (Net CV)
1117,Scope 1,Fuels,Gaseous fuels,CNG,kWh (Gross CV)
1118,Scope 1,Fuels,Gaseous fuels,LNG,tonnes
1119,Scope 1,Fuels,Gaseous fuels,LNG,litres
11110,Scope 1,Fuels,Gaseous fuels,LNG,kWh (Net CV)
11111,Scope 1,Fuels,Gaseous fuels,LNG,kWh (Gross CV)
11112,Scope 1,Fuels,Gaseous fuels,LPG,tonnes
11113,Scope 1,Fuels,Gaseous fuels,LPG,litres
11114,Scope 1,Fuels,Gaseous fuels,LPG,kWh (Net CV)
11115,Scope 1,Fuels,Gaseous fuels,LPG,kWh (Gross CV)
11116,Scope 1,Fuels,Gaseous fuels,Natural gas,tonnes
11117,Scope 1,Fuels,Gaseous fuels,Natural gas,cubic metres
11118,Scope 1,Fuels,Gaseous fuels,Natural gas,kWh (Net CV)
11119,Scope 1,Fuels,Gaseous fuels,Natural gas,kWh (Gross CV)
11120,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),tonnes
11121,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),cubic metres
11122,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),kWh (Net CV)
11123,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),kWh (Gross CV)
11124,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,tonnes
11125,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,litres
11126,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,kWh (Net CV)
11127,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,kWh (Gross CV)
11128,Scope 1,Fuels,Gaseous fuels,Propane,tonnes
11129,Scope 1,Fuels,Gaseous fuels,Propane,litres
11130,Scope 1,Fuels,Gaseous fuels,Propane,kWh (Net CV)
11131,Scope 1,Fuels,Gaseous fuels,Propane,kWh (Gross CV)
1120,Scope 1,Fuels,Liquid fuels,Aviation spirit,tonnes
1121,Scope 1,Fuels,Liquid fuels,Aviation spirit,litres
1122,Scope 1,Fuels,Liquid fuels,Aviation spirit,kWh (Net CV)
1123,Scope 1,Fuels,Liquid fuels,Aviation spirit,kWh (Gross CV)
1124,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,tonnes
1125,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,litres
1126,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,kWh (Net CV)
1127,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,kWh (Gross CV)
1128,Scope 1,Fuels,Liquid fuels,Burning oil,tonnes
1129,Scope 1,Fuels,Liquid fuels,Burning oil,litres
11210,Scope 1,Fuels,Liquid fuels,Burning oil,kWh (Net CV)
11211,Scope 1,Fuels,Liquid fuels,Burning oil,kWh (Gross CV)
11212,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),tonnes
11213,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),litres
11214,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),kWh (Net CV)
11215,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),kWh (Gross CV)
11216,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),tonnes
11217,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),litres
11218,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),kWh (Net CV)
11219,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),kWh (Gross CV)
11220,Scope 1,Fuels,Liquid fuels,Fuel oil,tonnes
11221,Scope 1,Fuels,Liquid fuels,Fuel oil,litres
11222,Scope 1,Fuels,Liquid fuels,Fuel oil,kWh (Net CV)
11223,Scope 1,Fuels,Liquid fuels,Fuel oil,kWh (Gross CV)
11224,Scope 1,Fuels,Liquid fuels,Gas oil,tonnes
11225,Scope 1,Fuels,Liquid fuels,Gas oil,litres
11226,Scope 1,Fuels,Liquid fuels,Gas oil,kWh (Net CV)
11227,Scope 1,Fuels,Liquid fuels,Gas oil,kWh (Gross CV)
11228,Scope 1,Fuels,Liquid fuels,Lubricants,tonnes
11229,Scope 1,Fuels,Liquid fuels,Lubricants,litres
11230,Scope 1,Fuels,Liquid fuels,Lubricants,kWh (Net CV)
11231,Scope 1,Fuels,Liquid fuels,Lubricants,kWh (Gross CV)
11232,Scope 1,Fuels,Liquid fuels,Naphtha,tonnes
11233,Scope 1,Fuels,Liquid fuels,Naphtha,litres
11234,Scope 1,Fuels,Liquid fuels,Naphtha,kWh (Net CV)
11235,Scope 1,Fuels,Liquid fuels,Naphtha,kWh (Gross CV)
