index,Last level,GHG/Unit,GHG Conversion Factor
1410,Diesel,kg CO2e,0.10996
1411,Diesel,kg CO2e,0.17696
1412,Diesel,kg CO2e,0.13452
1413,Diesel,kg CO2e,0.21649
1414,Diesel,kg CO2e,0.14517
1415,Diesel,kg CO2e,0.23363
1416,Diesel,kg CO2e,0.16194
1417,Diesel,kg CO2e,0.26063
1418,Diesel,kg CO2e,0.17088
1419,Diesel,kg CO2e,0.27501
14110,Diesel,kg CO2e,0.20632
14111,Diesel,kg CO2e,0.33205
14112,Diesel,kg CO2e,0.17323
14113,Diesel,kg CO2e,0.27879
14114,Diesel,kg CO2e,0.19973
14115,Diesel,kg CO2e,0.32145
14116,Diesel,kg CO2e,0.18072
14117,Diesel,kg CO2e,0.29085
1410,Diesel,kg CO2e of CO2 per unit,0.10828
1411,Diesel,kg CO2e of CO2 per unit,0.17425
1412,Diesel,kg CO2e of CO2 per unit,0.13284
1413,Diesel,kg CO2e of CO2 per unit,0.21378
1414,Diesel,kg CO2e of CO2 per unit,0.14349
1415,Diesel,kg CO2e of CO2 per unit,0.23092
1416,Diesel,kg CO2e of CO2 per unit,0.16026
1417,Diesel,kg CO2e of CO2 per unit,0.25792
1418,Diesel,kg CO2e of CO2 per unit,0.1692
1419,Diesel,kg CO2e of CO2 per unit,0.2723
14110,Diesel,kg CO2e of CO2 per unit,0.20464
14111,Diesel,kg CO2e of CO2 per unit,0.32934
14112,Diesel,kg CO2e of CO2 per unit,0.17155
14113,Diesel,kg CO2e of CO2 per unit,0.27608
14114,Diesel,kg CO2e of CO2 per unit,0.19805
14115,Diesel,kg CO2e of CO2 per unit,0.31874
14116,Diesel,kg CO2e of CO2 per unit,0.17904
14117,Diesel,kg CO2e of CO2 per unit,0.28814
1410,Diesel,kg CO2e of CH4 per unit,4.6368e-06
1411,Diesel,kg CO2e of CH4 per unit,1e-05
1412,Diesel,kg CO2e of CH4 per unit,4.6368e-06
1413,Diesel,kg CO2e of CH4 per unit,1e-05
1414,Diesel,kg CO2e of CH4 per unit,4.6368e-06
1415,Diesel,kg CO2e of CH4 per unit,1e-05
1416,Diesel,kg CO2e of CH4 per unit,4.6368e-06
1417,Diesel,kg CO2e of CH4 per unit,1e-05
1418,Diesel,kg CO2e of CH4 per unit,4.6368e-06
1419,Diesel,kg CO2e of CH4 per unit,1e-05
14110,Diesel,kg CO2e of CH4 per unit,4.6368e-06
14111,Diesel,kg CO2e of CH4 per unit,1e-05
14112,Diesel,kg CO2e of CH4 per unit,4.6368e-06
14113,Diesel,kg CO2e of CH4 per unit,1e-05
14114,Diesel,kg CO2e of CH4 per unit,4.6368e-06
14115,Diesel,kg CO2e of CH4 per unit,1e-05
14116,Diesel,kg CO2e of CH4 per unit,4.6368e-06
14117,Diesel,kg CO2e of CH4 per unit,1e-05
1410,Diesel,kg CO2e of N2O per unit,0.00167
1411,Diesel,kg CO2e of N2O per unit,0.00269
1412,Diesel,kg CO2e of N2O per unit,0.00167
1413,Diesel,kg CO2e of N2O per unit,0.00269
1414,Diesel,kg CO2e of N2O per unit,0.00167
1415,Diesel,kg CO2e of N2O per unit,0.00269
1416,Diesel,kg CO2e of N2O per unit,0.00167
1417,Diesel,kg CO2e of N2O per unit,0.00269
1418,Diesel,kg CO2e of N2O per unit,0.00167
1419,Diesel,kg CO2e of N2O per unit,0.00269
14110,Diesel,kg CO2e of N2O per unit,0.00167
14111,Diesel,kg CO2e of N2O per unit,0.00269
14112,Diesel,kg CO2e of N2O per unit,0.00167
14113,Diesel,kg CO2e of N2O per unit,0.00269
14114,Diesel,kg CO2e of N2O per unit,0.00167
14115,Diesel,kg CO2e of N2O per unit,0.00269
14116,Diesel,kg CO2e of N2O per unit,0.00167
14117,Diesel,kg CO2e of N2O per unit,0.00269
1410,Petrol,kg CO2e,0.13063
1411,Petrol,kg CO2e,0.21022
1412,Petrol,kg CO2e,0.14276
1413,Petrol,kg CO2e,0.22974
1414,Petrol,kg CO2e,0.16123
1415,Petrol,kg CO2e,0.25948
1416,Petrol,kg CO2e,0.18535
1417,Petrol,kg CO2e,0.29828
1418,Petrol,kg CO2e,0.20073
1419,Petrol,kg CO2e,0.32304
14110,Petrol,kg CO2e,0.30752
14111,Petrol,kg CO2e,0.4949
14112,Petrol,kg CO2e,0.23396
14113,Petrol,kg CO2e,0.37652
14114,Petrol,kg CO2e,0.19219
14115,Petrol,kg CO2e,0.3093
14116,Petrol,kg CO2e,0.17903
14117,Petrol,kg CO2e,0.28812
1410,Petrol,kg CO2e of CO2 per unit,0.12995
1411,Petrol,kg CO2e of CO2 per unit,0.20913
1412,Petrol,kg CO2e of CO2 per unit,0.14208
1413,Petrol,kg CO2e of CO2 per unit,0.22865
1414,Petrol,kg CO2e of CO2 per unit,0.16055
1415,Petrol,kg CO2e of CO2 per unit,0.25839
1416,Petrol,kg CO2e of CO2 per unit,0.18467
1417,Petrol,kg CO2e of CO2 per unit,0.29719
1418,Petrol,kg CO2e of CO2 per unit,0.20005
1419,Petrol,kg CO2e of CO2 per unit,0.32195
14110,Petrol,kg CO2e of CO2 per unit,0.30684
14111,Petrol,kg CO2e of CO2 per unit,0.49381
14112,Petrol,kg CO2e of CO2 per unit,0.23328
14113,Petrol,kg CO2e of CO2 per unit,0.37543
14114,Petrol,kg CO2e of CO2 per unit,0.19151
14115,Petrol,kg CO2e of CO2 per unit,0.30821
14116,Petrol,kg CO2e of CO2 per unit,0.17835
14117,Petrol,kg CO2e of CO2 per unit,0.28703
1410,Petrol,kg CO2e of CH4 per unit,0.00036
1411,Petrol,kg CO2e of CH4 per unit,0.00057
1412,Petrol,kg CO2e of CH4 per unit,0.00036
1413,Petrol,kg CO2e of CH4 per unit,0.00057
1414,Petrol,kg CO2e of CH4 per unit,0.00036
1415,Petrol,kg CO2e of CH4 per unit,0.00057
1416,Petrol,kg CO2e of CH4 per unit,0.00036
1417,Petrol,kg CO2e of CH4 per unit,0.00057
1418,Petrol,kg CO2e of CH4 per unit,0.00036
1419,Petrol,kg CO2e of CH4 per unit,0.00057
14110,Petrol,kg CO2e of CH4 per unit,0.00036
14111,Petrol,kg CO2e of CH4 per unit,0.00057
14112,Petrol,kg CO2e of CH4 per unit,0.00036
14113,Petrol,kg CO2e of CH4 per unit,0.00057
14114,Petrol,kg CO2e of CH4 per unit,0.00036
