index,Last level,GHG/Unit,GHG Conversion Factor
1310,Emissions including only Kyoto products,kg CO2e,1.0
1311,Emissions including only Kyoto products,kg CO2e,28.0
1312,Emissions including only Kyoto products,kg CO2e,265.0
1313,Emissions including only Kyoto products,kg CO2e,12400.0
1314,Emissions including only Kyoto products,kg CO2e,677.0
1315,Emissions including only Kyoto products,kg CO2e,116.0
1316,Emissions including only Kyoto products,kg CO2e,3170.0
1317,Emissions including only Kyoto products,kg CO2e,1120.0
1318,Emissions including only Kyoto products,kg CO2e,1300.0
1319,Emissions including only Kyoto products,kg CO2e,328.0
13110,Emissions including only Kyoto products,kg CO2e,4800.0
13111,Emissions including only Kyoto products,kg CO2e,138.0
13112,Emissions including only Kyoto products,kg CO2e,3350.0
13113,Emissions including only Kyoto products,kg CO2e,8060.0
13114,Emissions including only Kyoto products,kg CO2e,858.0
13115,Emissions including only Kyoto products,kg CO2e,1650.0
13116,Emissions including only Kyoto products,kg CO2e,6630.0
13117,Emissions including only Kyoto products,kg CO2e,11100.0
13118,Emissions including only Kyoto products,kg CO2e,8900.0
13119,Emissions including only Kyoto products,kg CO2e,9540.0
13120,Emissions including only Kyoto products,kg CO2e,9200.0
13121,Emissions including only Kyoto products,kg CO2e,8550.0
13122,Emissions including only Kyoto products,kg CO2e,7910.0
13123,Emissions including only Kyoto products,kg CO2e,7190.0
13124,Emissions including only Kyoto products,kg CO2e,9200.0
13125,Emissions including only Kyoto products,kg CO2e,23500.0
13126,Emissions including only Kyoto products,kg CO2e,16.0
13127,Emissions including only Kyoto products,kg CO2e,4.0
13128,Emissions including only Kyoto products,kg CO2e,1210.0
13129,Emissions including only Kyoto products,kg CO2e,1330.0
13130,Emissions including only Kyoto products,kg CO2e,716.0
13131,Emissions including only Kyoto products,kg CO2e,804.0
13132,Emissions including only Kyoto products,kg CO2e,16100.0
1310,Emissions including only non-Kyoto products,kg CO2e,
1311,Emissions including only non-Kyoto products,kg CO2e,
1312,Emissions including only non-Kyoto products,kg CO2e,
1313,Emissions including only non-Kyoto products,kg CO2e,
1314,Emissions including only non-Kyoto products,kg CO2e,
1315,Emissions including only non-Kyoto products,kg CO2e,
