index,Scope,Level 1,Activity,Emission,Unit
1310,Scope 1,Refrigerant & other,Kyoto protocol products,Carbon dioxide,kg
1311,Scope 1,Refrigerant & other,Kyoto protocol products,Methane,kg
1312,Scope 1,Refrigerant & other,Kyoto protocol products,Nitrous oxide,kg
1313,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-23,kg
1314,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-32,kg
1315,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-41,kg
1316,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-125,kg
1317,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134,kg
1318,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-134a,kg
1319,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143,kg
13110,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-143a,kg
13111,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152a,kg
13112,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-227ea,kg
13113,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-236fa,kg
13114,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-245fa,kg
13115,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-43-I0mee,kg
13116,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoromethane (PFC-14),kg
13117,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoroethane (PFC-116),kg
13118,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropropane (PFC-218),kg
13119,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclobutane (PFC-318),kg
13120,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorobutane (PFC-3-1-10),kg
13121,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluoropentane (PFC-4-1-12),kg
13122,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorohexane (PFC-5-1-14),kg
13123,Scope 1,Refrigerant & other,Kyoto protocol products,PFC-9-1-18,kg
13124,Scope 1,Refrigerant & other,Kyoto protocol products,Perfluorocyclopropane,kg
13125,Scope 1,Refrigerant & other,Kyoto protocol products,Sulphur hexafluoride (SF6),kg
13126,Scope 1,Refrigerant & other,Kyoto protocol products,HFC-152,kg
