index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
1610,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Diesel,km,kWh (Net CV),0.42263
1611,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Diesel,miles,kWh (Net CV),0.68015
1612,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Diesel,km,kWh (Net CV),0.51849
1613,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Diesel,miles,kWh (Net CV),0.83443
1614,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Diesel,km,kWh (Net CV),0.56007
1615,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Diesel,miles,kWh (Net CV),0.90135
1616,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Diesel,km,kWh (Net CV),0.62553
1617,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Diesel,miles,kWh (Net CV),1.0067
1618,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Diesel,km,kWh (Net CV),0.66042
1619,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Diesel,miles,kWh (Net CV),1.06284
16110,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Diesel,km,kWh (Net CV),0.79877
16111,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Diesel,miles,kWh (Net CV),1.28549
16112,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Diesel,km,kWh (Net CV),0.66959
16113,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Diesel,miles,kWh (Net CV),1.0776
16114,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Diesel,km,kWh (Net CV),0.77304
16115,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Diesel,miles,kWh (Net CV),1.24409
16116,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Diesel,km,kWh (Net CV),0.69884
16117,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Diesel,miles,kWh (Net CV),1.12468
1610,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Petrol,km,kWh (Net CV),0.56434
1611,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Petrol,miles,kWh (Net CV),0.90821
1612,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Petrol,km,kWh (Net CV),0.61702
1613,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Petrol,miles,kWh (Net CV),0.993
1614,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Petrol,km,kWh (Net CV),0.69727
1615,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Petrol,miles,kWh (Net CV),1.12214
1616,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Petrol,km,kWh (Net CV),0.80198
1617,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Petrol,miles,kWh (Net CV),1.29067
1618,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Petrol,km,kWh (Net CV),0.86881
1619,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Petrol,miles,kWh (Net CV),1.39821
16110,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Petrol,km,kWh (Net CV),1.33257
16111,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Petrol,miles,kWh (Net CV),2.14457
16112,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Petrol,km,kWh (Net CV),1.01311
16113,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Petrol,miles,kWh (Net CV),1.63044
16114,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Petrol,km,kWh (Net CV),0.83171
16115,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Petrol,miles,kWh (Net CV),1.33851
16116,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Petrol,km,kWh (Net CV),0.77457
16117,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Petrol,miles,kWh (Net CV),1.24655
1610,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Unknown,km,kWh (Net CV),0.56341
1611,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Unknown,miles,kWh (Net CV),0.90672
1612,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Unknown,km,kWh (Net CV),0.60573
1613,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Unknown,miles,kWh (Net CV),0.97482
1614,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Unknown,km,kWh (Net CV),0.63734
1615,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Unknown,miles,kWh (Net CV),1.0257
1616,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Unknown,km,kWh (Net CV),0.66409
1617,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Unknown,miles,kWh (Net CV),1.06875
1618,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Unknown,km,kWh (Net CV),0.70911
1619,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Unknown,miles,kWh (Net CV),1.14121
16110,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Unknown,km,kWh (Net CV),1.02561
16111,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Unknown,miles,kWh (Net CV),1.65056
16112,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Unknown,km,kWh (Net CV),0.95159
16113,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Unknown,miles,kWh (Net CV),1.53144
16114,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Unknown,km,kWh (Net CV),0.79464
16115,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Unknown,miles,kWh (Net CV),1.27885
16116,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Unknown,km,kWh (Net CV),0.71496
16117,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Unknown,miles,kWh (Net CV),1.15062
1610,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),
