index,Last level,GHG/Unit,GHG Conversion Factor
1610,Diesel,kWh (Net CV),0.42263
1611,Diesel,kWh (Net CV),0.68015
1612,Diesel,kWh (Net CV),0.51849
1613,Diesel,kWh (Net CV),0.83443
1614,Diesel,kWh (Net CV),0.56007
1615,Diesel,kWh (Net CV),0.90135
1616,Diesel,kWh (Net CV),0.62553
1617,Diesel,kWh (Net CV),1.0067
1618,Diesel,kWh (Net CV),0.66042
1619,Diesel,kWh (Net CV),1.06284
16110,Diesel,kWh (Net CV),0.79877
16111,Diesel,kWh (Net CV),1.28549
16112,Diesel,kWh (Net CV),0.66959
16113,Diesel,kWh (Net CV),1.0776
16114,Diesel,kWh (Net CV),0.77304
16115,Diesel,kWh (Net CV),1.24409
16116,Diesel,kWh (Net CV),0.69884
16117,Diesel,kWh (Net CV),1.12468
1610,Petrol,kWh (Net CV),0.56434
1611,Petrol,kWh (Net CV),0.90821
1612,Petrol,kWh (Net CV),0.61702
1613,Petrol,kWh (Net CV),0.993
1614,Petrol,kWh (Net CV),0.69727
1615,Petrol,kWh (Net CV),1.12214
1616,Petrol,kWh (Net CV),0.80198
1617,Petrol,kWh (Net CV),1.29067
1618,Petrol,kWh (Net CV),0.86881
1619,Petrol,kWh (Net CV),1.39821
16110,Petrol,kWh (Net CV),1.33257
16111,Petrol,kWh (Net CV),2.14457
16112,Petrol,kWh (Net CV),1.01311
16113,Petrol,kWh (Net CV),1.63044
16114,Petrol,kWh (Net CV),0.83171
16115,Petrol,kWh (Net CV),1.33851
16116,Petrol,kWh (Net CV),0.77457
16117,Petrol,kWh (Net CV),1.24655
1610,Unknown,kWh (Net CV),0.56341
1611,Unknown,kWh (Net CV),0.90672
1612,Unknown,kWh (Net CV),0.60573
1613,Unknown,kWh (Net CV),0.97482
1614,Unknown,kWh (Net CV),0.63734
1615,Unknown,kWh (Net CV),1.0257
1616,Unknown,kWh (Net CV),0.66409
1617,Unknown,kWh (Net CV),1.06875
1618,Unknown,kWh (Net CV),0.70911
1619,Unknown,kWh (Net CV),1.14121
16110,Unknown,kWh (Net CV),1.02561
16111,Unknown,kWh (Net CV),1.65056
16112,Unknown,kWh (Net CV),0.95159
16113,Unknown,kWh (Net CV),1.53144
16114,Unknown,kWh (Net CV),0.79464
16115,Unknown,kWh (Net CV),1.27885
16116,Unknown,kWh (Net CV),0.71496
16117,Unknown,kWh (Net CV),1.15062
1610,Plug-in Hybrid Electric Vehicle,kWh (Net CV),
1611,Plug-in Hybrid Electric Vehicle,kWh (Net CV),
1612,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.13002
1613,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.20924
1614,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.32312
1615,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.52001
1616,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.3492
1617,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.56198
1618,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.35254
1619,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.56736
16110,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.49634
16111,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.79878
16112,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.61275
16113,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.98612
16114,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.44006
16115,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.70822
16116,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.36092
16117,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.58085
1610,Battery Electric Vehicle,kWh (Net CV),0.0
1611,Battery Electric Vehicle,kWh (Net CV),0.0
1612,Battery Electric Vehicle,kWh (Net CV),0.0
1613,Battery Electric Vehicle,kWh (Net CV),0.0
1614,Battery Electric Vehicle,kWh (Net CV),0.0
1615,Battery Electric Vehicle,kWh (Net CV),0.0
1616,Battery Electric Vehicle,kWh (Net CV),0.0
1617,Battery Electric Vehicle,kWh (Net CV),0.0
1618,Battery Electric Vehicle,kWh (Net CV),0.0
1619,Battery Electric Vehicle,kWh (Net CV),0.0
16110,Battery Electric Vehicle,kWh (Net CV),0.0
16111,Battery Electric Vehicle,kWh (Net CV),0.0
16112,Battery Electric Vehicle,kWh (Net CV),0.0
16113,Battery Electric Vehicle,kWh (Net CV),0.0
16114,Battery Electric Vehicle,kWh (Net CV),0.0
16115,Battery Electric Vehicle,kWh (Net CV),0.0
16116,Battery Electric Vehicle,kWh (Net CV),0.0
16117,Battery Electric Vehicle,kWh (Net CV),0.0
1620,Diesel,kWh (Net CV),0.55315
1621,Diesel,kWh (Net CV),0.8902
1622,Diesel,kWh (Net CV),0.66377
1623,Diesel,kWh (Net CV),1.06824
1624,Diesel,kWh (Net CV),0.8134
1625,Diesel,kWh (Net CV),1.30903
1626,Diesel,kWh (Net CV),0.66887
1627,Diesel,kWh (Net CV),1.07644
1620,Petrol,kWh (Net CV),0.61844
1621,Petrol,kWh (Net CV),0.99529
1622,Petrol,kWh (Net CV),0.75592
1623,Petrol,kWh (Net CV),1.21653
1624,Petrol,kWh (Net CV),1.16215
1625,Petrol,kWh (Net CV),1.87031
1626,Petrol,kWh (Net CV),0.70374
1627,Petrol,kWh (Net CV),1.13256
1620,Hybrid,kWh (Net CV),0.47595
1621,Hybrid,kWh (Net CV),0.76596
1622,Hybrid,kWh (Net CV),0.47641
1623,Hybrid,kWh (Net CV),0.7667
1624,Hybrid,kWh (Net CV),0.62334
1625,Hybrid,kWh (Net CV),1.00316
1626,Hybrid,kWh (Net CV),0.52624
1627,Hybrid,kWh (Net CV),0.8469
1620,CNG,kWh (Net CV),
1621,CNG,kWh (Net CV),
1622,CNG,kWh (Net CV),0.75592
1623,CNG,kWh (Net CV),1.21653
1624,CNG,kWh (Net CV),1.16215
1625,CNG,kWh (Net CV),1.87031
1626,CNG,kWh (Net CV),0.85033
1627,CNG,kWh (Net CV),1.36847
1620,LPG,kWh (Net CV),
1621,LPG,kWh (Net CV),
1622,LPG,kWh (Net CV),0.75592
1623,LPG,kWh (Net CV),1.21653
1624,LPG,kWh (Net CV),1.16215
1625,LPG,kWh (Net CV),1.87031
1626,LPG,kWh (Net CV),0.85033
1627,LPG,kWh (Net CV),1.36847
1620,Unknown,kWh (Net CV),0.59833
1621,Unknown,kWh (Net CV),0.96292
1622,Unknown,kWh (Net CV),0.70622
1623,Unknown,kWh (Net CV),1.13655
1624,Unknown,kWh (Net CV),0.90586
1625,Unknown,kWh (Net CV),1.45784
1626,Unknown,kWh (Net CV),0.68773
1627,Unknown,kWh (Net CV),1.10679
1620,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.13002
1621,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.20924
1622,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.33596
1623,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.54068
1624,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.43227
1625,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.69566
1626,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.39517
1627,Plug-in Hybrid Electric Vehicle,kWh (Net CV),0.63596
1620,Battery Electric Vehicle,kWh (Net CV),0.0
1621,Battery Electric Vehicle,kWh (Net CV),0.0
