index,Scope,Level 1,Activity,Type,Unit
1610,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,km
1611,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,miles
1612,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,km
1613,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,miles
1614,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,km
1615,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,miles
1616,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,km
1617,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,miles
1618,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,km
1619,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,miles
16110,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,km
16111,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,miles
16112,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,km
16113,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,miles
16114,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,km
16115,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,miles
16116,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,km
16117,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,miles
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,km
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,miles
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,km
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,miles
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,km
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,miles
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,km
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,miles
1630,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Small,km
1631,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Small,miles
1632,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Medium,km
1633,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Medium,miles
1634,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Large,km
1635,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Large,miles
1636,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Average,km
1637,Scope 1,SECR kWh pass & delivery vehs,Motorbike,Average,miles
1640,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),tonne.km
1641,Scope 1,SECR kWh pass & delivery vehs,Vans,Class I (up to 1.305 tonnes),km
