index,Last level,GHG/Unit,GHG Conversion Factor
2410,Plug-in Hybrid Electric Vehicle,kWh (net),
2411,Plug-in Hybrid Electric Vehicle,kWh (net),
2412,Plug-in Hybrid Electric Vehicle,kWh (net),0.13599
2413,Plug-in Hybrid Electric Vehicle,kWh (net),0.21885
2414,Plug-in Hybrid Electric Vehicle,kWh (net),0.05035
2415,Plug-in Hybrid Electric Vehicle,kWh (net),0.08103
2416,Plug-in Hybrid Electric Vehicle,kWh (net),0.05403
2417,Plug-in Hybrid Electric Vehicle,kWh (net),0.08696
2418,Plug-in Hybrid Electric Vehicle,kWh (net),0.04412
2419,Plug-in Hybrid Electric Vehicle,kWh (net),0.07101
24110,Plug-in Hybrid Electric Vehicle,kWh (net),0.05159
24111,Plug-in Hybrid Electric Vehicle,kWh (net),0.08303
24112,Plug-in Hybrid Electric Vehicle,kWh (net),0.03764
24113,Plug-in Hybrid Electric Vehicle,kWh (net),0.06057
24114,Plug-in Hybrid Electric Vehicle,kWh (net),0.07385
24115,Plug-in Hybrid Electric Vehicle,kWh (net),0.11886
24116,Plug-in Hybrid Electric Vehicle,kWh (net),0.09345
24117,Plug-in Hybrid Electric Vehicle,kWh (net),0.15039
2410,Battery Electric Vehicle,kWh (net),0.16955
2411,Battery Electric Vehicle,kWh (net),0.27286
2412,Battery Electric Vehicle,kWh (net),0.19308
2413,Battery Electric Vehicle,kWh (net),0.31072
2414,Battery Electric Vehicle,kWh (net),0.19642
2415,Battery Electric Vehicle,kWh (net),0.31611
2416,Battery Electric Vehicle,kWh (net),0.21417
2417,Battery Electric Vehicle,kWh (net),0.34468
2418,Battery Electric Vehicle,kWh (net),0.18891
2419,Battery Electric Vehicle,kWh (net),0.30403
24110,Battery Electric Vehicle,kWh (net),0.2506
24111,Battery Electric Vehicle,kWh (net),0.4033
24112,Battery Electric Vehicle,kWh (net),0.32014
24113,Battery Electric Vehicle,kWh (net),0.51521
24114,Battery Electric Vehicle,kWh (net),0.21529
24115,Battery Electric Vehicle,kWh (net),0.34648
24116,Battery Electric Vehicle,kWh (net),0.26566
24117,Battery Electric Vehicle,kWh (net),0.42754
2420,Plug-in Hybrid Electric Vehicle,kWh (net),0.13599
2421,Plug-in Hybrid Electric Vehicle,kWh (net),0.21885
2422,Plug-in Hybrid Electric Vehicle,kWh (net),0.05216
2423,Plug-in Hybrid Electric Vehicle,kWh (net),0.08394
2424,Plug-in Hybrid Electric Vehicle,kWh (net),0.07088
2425,Plug-in Hybrid Electric Vehicle,kWh (net),0.11406
2426,Plug-in Hybrid Electric Vehicle,kWh (net),0.06562
2427,Plug-in Hybrid Electric Vehicle,kWh (net),0.10561
2420,Battery Electric Vehicle,kWh (net),0.18852
2421,Battery Electric Vehicle,kWh (net),0.30339
2422,Battery Electric Vehicle,kWh (net),0.19814
2423,Battery Electric Vehicle,kWh (net),0.31888
2424,Battery Electric Vehicle,kWh (net),0.21449
2425,Battery Electric Vehicle,kWh (net),0.34519
2426,Battery Electric Vehicle,kWh (net),0.20656
2427,Battery Electric Vehicle,kWh (net),0.33243
2430,Plug-in Hybrid Electric Vehicle,kWh (net),
2431,Plug-in Hybrid Electric Vehicle,kWh (net),
2432,Plug-in Hybrid Electric Vehicle,kWh (net),
2433,Plug-in Hybrid Electric Vehicle,kWh (net),
2434,Plug-in Hybrid Electric Vehicle,kWh (net),
2435,Plug-in Hybrid Electric Vehicle,kWh (net),
2436,Plug-in Hybrid Electric Vehicle,kWh (net),0.19938
2437,Plug-in Hybrid Electric Vehicle,kWh (net),0.07866
2438,Plug-in Hybrid Electric Vehicle,kWh (net),0.12659
2439,Plug-in Hybrid Electric Vehicle,kWh (net),0.19938
24310,Plug-in Hybrid Electric Vehicle,kWh (net),0.07866
24311,Plug-in Hybrid Electric Vehicle,kWh (net),0.12659
2430,Battery Electric Vehicle,kWh (net),0.6359
2431,Battery Electric Vehicle,kWh (net),0.19454
2432,Battery Electric Vehicle,kWh (net),0.31308
2433,Battery Electric Vehicle,kWh (net),1.27672
2434,Battery Electric Vehicle,kWh (net),0.29614
2435,Battery Electric Vehicle,kWh (net),0.47659
2436,Battery Electric Vehicle,kWh (net),1.05006
2437,Battery Electric Vehicle,kWh (net),0.38984
2438,Battery Electric Vehicle,kWh (net),0.62739
2439,Battery Electric Vehicle,kWh (net),1.12547
24310,Battery Electric Vehicle,kWh (net),0.3582
24311,Battery Electric Vehicle,kWh (net),0.57647
