index,Last level,GHG/Unit,GHG Conversion Factor
2310,Plug-in Hybrid Electric Vehicle,kg CO2e,
2311,Plug-in Hybrid Electric Vehicle,kg CO2e,
2312,Plug-in Hybrid Electric Vehicle,kg CO2e,0.02408
2313,Plug-in Hybrid Electric Vehicle,kg CO2e,0.03877
2314,Plug-in Hybrid Electric Vehicle,kg CO2e,0.009
2315,Plug-in Hybrid Electric Vehicle,kg CO2e,0.01448
2316,Plug-in Hybrid Electric Vehicle,kg CO2e,0.00964
2317,Plug-in Hybrid Electric Vehicle,kg CO2e,0.01553
2318,Plug-in Hybrid Electric Vehicle,kg CO2e,0.00793
2319,Plug-in Hybrid Electric Vehicle,kg CO2e,0.01274
23110,Plug-in Hybrid Electric Vehicle,kg CO2e,0.00924
23111,Plug-in Hybrid Electric Vehicle,kg CO2e,0.01488
23112,Plug-in Hybrid Electric Vehicle,kg CO2e,0.00675
23113,Plug-in Hybrid Electric Vehicle,kg CO2e,0.01085
23114,Plug-in Hybrid Electric Vehicle,kg CO2e,0.01319
23115,Plug-in Hybrid Electric Vehicle,kg CO2e,0.02124
23116,Plug-in Hybrid Electric Vehicle,kg CO2e,0.01674
23117,Plug-in Hybrid Electric Vehicle,kg CO2e,0.02695
2310,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,
2311,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,
2312,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.02378
2313,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.03828
2314,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.00881
2315,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.01417
2316,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.00945
2317,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.01521
2318,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.00772
2319,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.01242
23110,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.00902
23111,Plug-in Hybrid Electric Vehicle,kg CO2e of CO2 per unit,0.01452
