index,Last level,GHG/Unit,GHG Conversion Factor
31510,Diesel,kg CO2e,0.10996
31511,Diesel,kg CO2e,0.17696
31512,Diesel,kg CO2e,0.13452
31513,Diesel,kg CO2e,0.21649
31514,Diesel,kg CO2e,0.14517
31515,Diesel,kg CO2e,0.23363
31516,Diesel,kg CO2e,0.16194
31517,Diesel,kg CO2e,0.26063
31518,Diesel,kg CO2e,0.17088
31519,Diesel,kg CO2e,0.27501
315110,Diesel,kg CO2e,0.20632
315111,Diesel,kg CO2e,0.33205
315112,Diesel,kg CO2e,0.17323
315113,Diesel,kg CO2e,0.27879
315114,Diesel,kg CO2e,0.19973
315115,Diesel,kg CO2e,0.32145
315116,Diesel,kg CO2e,0.18072
315117,Diesel,kg CO2e,0.29085
31510,Diesel,kg CO2e of CO2 per unit,0.10828
31511,Diesel,kg CO2e of CO2 per unit,0.17425
31512,Diesel,kg CO2e of CO2 per unit,0.13284
31513,Diesel,kg CO2e of CO2 per unit,0.21378
31514,Diesel,kg CO2e of CO2 per unit,0.14349
31515,Diesel,kg CO2e of CO2 per unit,0.23092
31516,Diesel,kg CO2e of CO2 per unit,0.16026
31517,Diesel,kg CO2e of CO2 per unit,0.25792
31518,Diesel,kg CO2e of CO2 per unit,0.1692
31519,Diesel,kg CO2e of CO2 per unit,0.2723
315110,Diesel,kg CO2e of CO2 per unit,0.20464
315111,Diesel,kg CO2e of CO2 per unit,0.32934
315112,Diesel,kg CO2e of CO2 per unit,0.17155
315113,Diesel,kg CO2e of CO2 per unit,0.27608
315114,Diesel,kg CO2e of CO2 per unit,0.19805
315115,Diesel,kg CO2e of CO2 per unit,0.31874
315116,Diesel,kg CO2e of CO2 per unit,0.17904
315117,Diesel,kg CO2e of CO2 per unit,0.28814
31510,Diesel,kg CO2e of CH4 per unit,4.6368e-06
31511,Diesel,kg CO2e of CH4 per unit,1e-05
31512,Diesel,kg CO2e of CH4 per unit,4.6368e-06
31513,Diesel,kg CO2e of CH4 per unit,1e-05
31514,Diesel,kg CO2e of CH4 per unit,4.6368e-06
31515,Diesel,kg CO2e of CH4 per unit,1e-05
31516,Diesel,kg CO2e of CH4 per unit,4.6368e-06
31517,Diesel,kg CO2e of CH4 per unit,1e-05
31518,Diesel,kg CO2e of CH4 per unit,4.6368e-06
31519,Diesel,kg CO2e of CH4 per unit,1e-05
315110,Diesel,kg CO2e of CH4 per unit,4.6368e-06
315111,Diesel,kg CO2e of CH4 per unit,1e-05
315112,Diesel,kg CO2e of CH4 per unit,4.6368e-06
315113,Diesel,kg CO2e of CH4 per unit,1e-05
315114,Diesel,kg CO2e of CH4 per unit,4.6368e-06
315115,Diesel,kg CO2e of CH4 per unit,1e-05
315116,Diesel,kg CO2e of CH4 per unit,4.6368e-06
315117,Diesel,kg CO2e of CH4 per unit,1e-05
31510,Diesel,kg CO2e of N2O per unit,0.00167
31511,Diesel,kg CO2e of N2O per unit,0.00269
31512,Diesel,kg CO2e of N2O per unit,0.00167
31513,Diesel,kg CO2e of N2O per unit,0.00269
31514,Diesel,kg CO2e of N2O per unit,0.00167
31515,Diesel,kg CO2e of N2O per unit,0.00269
31516,Diesel,kg CO2e of N2O per unit,0.00167
31517,Diesel,kg CO2e of N2O per unit,0.00269
31518,Diesel,kg CO2e of N2O per unit,0.00167
31519,Diesel,kg CO2e of N2O per unit,0.00269
315110,Diesel,kg CO2e of N2O per unit,0.00167
315111,Diesel,kg CO2e of N2O per unit,0.00269
315112,Diesel,kg CO2e of N2O per unit,0.00167
315113,Diesel,kg CO2e of N2O per unit,0.00269
315114,Diesel,kg CO2e of N2O per unit,0.00167
315115,Diesel,kg CO2e of N2O per unit,0.00269
315116,Diesel,kg CO2e of N2O per unit,0.00167
315117,Diesel,kg CO2e of N2O per unit,0.00269
31510,Petrol,kg CO2e,0.13063
31511,Petrol,kg CO2e,0.21022
31512,Petrol,kg CO2e,0.14276
31513,Petrol,kg CO2e,0.22974
31514,Petrol,kg CO2e,0.16123
31515,Petrol,kg CO2e,0.25948
31516,Petrol,kg CO2e,0.18535
31517,Petrol,kg CO2e,0.29828
31518,Petrol,kg CO2e,0.20073
31519,Petrol,kg CO2e,0.32304
315110,Petrol,kg CO2e,0.30752
315111,Petrol,kg CO2e,0.4949
315112,Petrol,kg CO2e,0.23396
315113,Petrol,kg CO2e,0.37652
315114,Petrol,kg CO2e,0.19219
315115,Petrol,kg CO2e,0.3093
315116,Petrol,kg CO2e,0.17903
315117,Petrol,kg CO2e,0.28812
31510,Petrol,kg CO2e of CO2 per unit,0.12995
31511,Petrol,kg CO2e of CO2 per unit,0.20913
31512,Petrol,kg CO2e of CO2 per unit,0.14208
31513,Petrol,kg CO2e of CO2 per unit,0.22865
31514,Petrol,kg CO2e of CO2 per unit,0.16055
31515,Petrol,kg CO2e of CO2 per unit,0.25839
31516,Petrol,kg CO2e of CO2 per unit,0.18467
31517,Petrol,kg CO2e of CO2 per unit,0.29719
31518,Petrol,kg CO2e of CO2 per unit,0.20005
31519,Petrol,kg CO2e of CO2 per unit,0.32195
315110,Petrol,kg CO2e of CO2 per unit,0.30684
315111,Petrol,kg CO2e of CO2 per unit,0.49381
315112,Petrol,kg CO2e of CO2 per unit,0.23328
315113,Petrol,kg CO2e of CO2 per unit,0.37543
315114,Petrol,kg CO2e of CO2 per unit,0.19151
315115,Petrol,kg CO2e of CO2 per unit,0.30821
315116,Petrol,kg CO2e of CO2 per unit,0.17835
315117,Petrol,kg CO2e of CO2 per unit,0.28703
31510,Petrol,kg CO2e of CH4 per unit,0.00036
31511,Petrol,kg CO2e of CH4 per unit,0.00057
31512,Petrol,kg CO2e of CH4 per unit,0.00036
31513,Petrol,kg CO2e of CH4 per unit,0.00057
31514,Petrol,kg CO2e of CH4 per unit,0.00036
31515,Petrol,kg CO2e of CH4 per unit,0.00057
31516,Petrol,kg CO2e of CH4 per unit,0.00036
31517,Petrol,kg CO2e of CH4 per unit,0.00057
31518,Petrol,kg CO2e of CH4 per unit,0.00036
31519,Petrol,kg CO2e of CH4 per unit,0.00057
315110,Petrol,kg CO2e of CH4 per unit,0.00036
315111,Petrol,kg CO2e of CH4 per unit,0.00057
315112,Petrol,kg CO2e of CH4 per unit,0.00036
315113,Petrol,kg CO2e of CH4 per unit,0.00057
315114,Petrol,kg CO2e of CH4 per unit,0.00036
315115,Petrol,kg CO2e of CH4 per unit,0.00057
315116,Petrol,kg CO2e of CH4 per unit,0.00036
315117,Petrol,kg CO2e of CH4 per unit,0.00057
31510,Petrol,kg CO2e of N2O per unit,0.00032
31511,Petrol,kg CO2e of N2O per unit,0.00052
31512,Petrol,kg CO2e of N2O per unit,0.00032
31513,Petrol,kg CO2e of N2O per unit,0.00052
31514,Petrol,kg CO2e of N2O per unit,0.00032
31515,Petrol,kg CO2e of N2O per unit,0.00052
31516,Petrol,kg CO2e of N2O per unit,0.00032
31517,Petrol,kg CO2e of N2O per unit,0.00052
31518,Petrol,kg CO2e of N2O per unit,0.00032
31519,Petrol,kg CO2e of N2O per unit,0.00052
315110,Petrol,kg CO2e of N2O per unit,0.00032
315111,Petrol,kg CO2e of N2O per unit,0.00052
315112,Petrol,kg CO2e of N2O per unit,0.00032
315113,Petrol,kg CO2e of N2O per unit,0.00052
315114,Petrol,kg CO2e of N2O per unit,0.00032
315115,Petrol,kg CO2e of N2O per unit,0.00052
315116,Petrol,kg CO2e of N2O per unit,0.00032
315117,Petrol,kg CO2e of N2O per unit,0.00052
31510,Hybrid,kg CO2e,
31511,Hybrid,kg CO2e,
31512,Hybrid,kg CO2e,
31513,Hybrid,kg CO2e,
31514,Hybrid,kg CO2e,
31515,Hybrid,kg CO2e,
31516,Hybrid,kg CO2e,
31517,Hybrid,kg CO2e,
31518,Hybrid,kg CO2e,
31519,Hybrid,kg CO2e,
315110,Hybrid,kg CO2e,
315111,Hybrid,kg CO2e,
315112,Hybrid,kg CO2e,
315113,Hybrid,kg CO2e,
315114,Hybrid,kg CO2e,
315115,Hybrid,kg CO2e,
315116,Hybrid,kg CO2e,
315117,Hybrid,kg CO2e,
31510,Hybrid,kg CO2e of CO2 per unit,
31511,Hybrid,kg CO2e of CO2 per unit,
31512,Hybrid,kg CO2e of CO2 per unit,
31513,Hybrid,kg CO2e of CO2 per unit,
31514,Hybrid,kg CO2e of CO2 per unit,
31515,Hybrid,kg CO2e of CO2 per unit,
31516,Hybrid,kg CO2e of CO2 per unit,
31517,Hybrid,kg CO2e of CO2 per unit,
31518,Hybrid,kg CO2e of CO2 per unit,
31519,Hybrid,kg CO2e of CO2 per unit,
315110,Hybrid,kg CO2e of CO2 per unit,
315111,Hybrid,kg CO2e of CO2 per unit,
315112,Hybrid,kg CO2e of CO2 per unit,
315113,Hybrid,kg CO2e of CO2 per unit,
315114,Hybrid,kg CO2e of CO2 per unit,
315115,Hybrid,kg CO2e of CO2 per unit,
315116,Hybrid,kg CO2e of CO2 per unit,
315117,Hybrid,kg CO2e of CO2 per unit,
31510,Hybrid,kg CO2e of CH4 per unit,
31511,Hybrid,kg CO2e of CH4 per unit,
31512,Hybrid,kg CO2e of CH4 per unit,
