index,Scope,Level 1,Activity,Type,Unit,Size
3110,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),tonne.km,
3111,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),km,
3112,Scope 3,Freighting goods,Vans,Class I (up to 1.305 tonnes),miles,
3113,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),tonne.km,
3114,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),km,
3115,Scope 3,Freighting goods,Vans,Class II (1.305 to 1.74 tonnes),miles,
3116,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),tonne.km,
3117,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),km,
3118,Scope 3,Freighting goods,Vans,Class III (1.74 to 3.5 tonnes),miles,
3119,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),tonne.km,
31110,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),km,
31111,Scope 3,Freighting goods,Vans,Average (up to 3.5 tonnes),miles,
3120,Scope 3,Freighting goods,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),tonne.km,
3121,Scope 3,Freighting goods,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),km,
3122,Scope 3,Freighting goods,HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),miles,
3123,Scope 3,Freighting goods,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),tonne.km,
3124,Scope 3,Freighting goods,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),km,
3125,Scope 3,Freighting goods,HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),miles,
3126,Scope 3,Freighting goods,HGV (all diesel),Rigid (>17 tonnes),tonne.km,
3127,Scope 3,Freighting goods,HGV (all diesel),Rigid (>17 tonnes),km,
3128,Scope 3,Freighting goods,HGV (all diesel),Rigid (>17 tonnes),miles,
3129,Scope 3,Freighting goods,HGV (all diesel),All rigids,tonne.km,
31210,Scope 3,Freighting goods,HGV (all diesel),All rigids,km,
31211,Scope 3,Freighting goods,HGV (all diesel),All rigids,miles,
31212,Scope 3,Freighting goods,HGV (all diesel),Articulated (>3.5 - 33t),tonne.km,
31213,Scope 3,Freighting goods,HGV (all diesel),Articulated (>3.5 - 33t),km,
31214,Scope 3,Freighting goods,HGV (all diesel),Articulated (>3.5 - 33t),miles,
31215,Scope 3,Freighting goods,HGV (all diesel),Articulated (>33t),tonne.km,
31216,Scope 3,Freighting goods,HGV (all diesel),Articulated (>33t),km,
31217,Scope 3,Freighting goods,HGV (all diesel),Articulated (>33t),miles,
31218,Scope 3,Freighting goods,HGV (all diesel),All artics,tonne.km,
31219,Scope 3,Freighting goods,HGV (all diesel),All artics,km,
31220,Scope 3,Freighting goods,HGV (all diesel),All artics,miles,
