index,GHG/Unit,GHG Conversion Factor
31910,kg CO2e,10.4
31911,kg CO2e,11.5
31920,kg CO2e,
31921,kg CO2e,35.0
31922,kg CO2e,
31923,kg CO2e,12.2
31924,kg CO2e,8.7
31925,kg CO2e,7.4
31926,kg CO2e,27.6
31927,kg CO2e,53.5
31928,kg CO2e,14.7
31929,kg CO2e,4.7
319210,kg CO2e,
319211,kg CO2e,44.2
319212,kg CO2e,
319213,kg CO2e,
319214,kg CO2e,6.7
319215,kg CO2e,13.2
319216,kg CO2e,
319217,kg CO2e,51.5
319218,kg CO2e,58.9
319219,kg CO2e,62.7
319220,kg CO2e,
319221,kg CO2e,
319222,kg CO2e,14.3
319223,kg CO2e,39.0
319224,kg CO2e,68.9
319225,kg CO2e,
319226,kg CO2e,55.8
319227,kg CO2e,
319228,kg CO2e,61.5
319229,kg CO2e,152.2
319230,kg CO2e,19.3
319231,kg CO2e,14.8
319232,kg CO2e,
319233,kg CO2e,90.3
319234,kg CO2e,
319235,kg CO2e,
319236,kg CO2e,54.3
319237,kg CO2e,
319238,kg CO2e,19.0
319239,kg CO2e,86.2
319240,kg CO2e,
319241,kg CO2e,24.2
319242,kg CO2e,106.4
319243,kg CO2e,24.5
319244,kg CO2e,51.4
319245,kg CO2e,7.0
319246,kg CO2e,6.6
319247,kg CO2e,
319248,kg CO2e,43.4
319249,kg CO2e,32.1
319250,kg CO2e,63.8
319251,kg CO2e,16.1
319252,kg CO2e,38.5
