index,Scope,Level 1,Activity,Country,Unit
31910,Scope 3,Hotel stay,Hotel stay,UK,Room per night
31911,Scope 3,Hotel stay,Hotel stay,UK (London),Room per night
31920,Scope 3,Hotel stay,Hotel stay,Argentina,Room per night
31921,Scope 3,Hotel stay,Hotel stay,Australia,Room per night
31922,Scope 3,Hotel stay,Hotel stay,Austria,Room per night
31923,Scope 3,Hotel stay,Hotel stay,Belgium,Room per night
31924,Scope 3,Hotel stay,Hotel stay,Brazil,Room per night
31925,Scope 3,Hotel stay,Hotel stay,Canada,Room per night
31926,Scope 3,Hotel stay,Hotel stay,Chile,Room per night
31927,Scope 3,Hotel stay,Hotel stay,China,Room per night
31928,Scope 3,Hotel stay,Hotel stay,Colombia,Room per night
31929,Scope 3,Hotel stay,Hotel stay,Costa Rica,Room per night
319210,Scope 3,Hotel stay,Hotel stay,Czech Republic,Room per night
319211,Scope 3,Hotel stay,Hotel stay,Egypt,Room per night
319212,Scope 3,Hotel stay,Hotel stay,Fiji,Room per night
319213,Scope 3,Hotel stay,Hotel stay,Finland,Room per night
319214,Scope 3,Hotel stay,Hotel stay,France,Room per night
319215,Scope 3,Hotel stay,Hotel stay,Germany,Room per night
319216,Scope 3,Hotel stay,Hotel stay,Greece,Room per night
319217,Scope 3,Hotel stay,Hotel stay,"Hong Kong, China",Room per night
319218,Scope 3,Hotel stay,Hotel stay,India,Room per night
319219,Scope 3,Hotel stay,Hotel stay,Indonesia,Room per night
319220,Scope 3,Hotel stay,Hotel stay,Ireland,Room per night
319221,Scope 3,Hotel stay,Hotel stay,Israel,Room per night
319222,Scope 3,Hotel stay,Hotel stay,Italy,Room per night
319223,Scope 3,Hotel stay,Hotel stay,Japan,Room per night
319224,Scope 3,Hotel stay,Hotel stay,Jordan,Room per night
319225,Scope 3,Hotel stay,Hotel stay,Kazakhstan,Room per night
319226,Scope 3,Hotel stay,Hotel stay,Korea,Room per night
319227,Scope 3,Hotel stay,Hotel stay,"Macau, China",Room per night
319228,Scope 3,Hotel stay,Hotel stay,Malaysia,Room per night
319229,Scope 3,Hotel stay,Hotel stay,Maldives,Room per night
319230,Scope 3,Hotel stay,Hotel stay,Mexico,Room per night
319231,Scope 3,Hotel stay,Hotel stay,Netherlands,Room per night
319232,Scope 3,Hotel stay,Hotel stay,New Zealand,Room per night
319233,Scope 3,Hotel stay,Hotel stay,Oman,Room per night
319234,Scope 3,Hotel stay,Hotel stay,Panama,Room per night
319235,Scope 3,Hotel stay,Hotel stay,Peru,Room per night
319236,Scope 3,Hotel stay,Hotel stay,Philippines,Room per night
319237,Scope 3,Hotel stay,Hotel stay,Poland,Room per night
319238,Scope 3,Hotel stay,Hotel stay,Portugal,Room per night
319239,Scope 3,Hotel stay,Hotel stay,Qatar,Room per night
319240,Scope 3,Hotel stay,Hotel stay,Romania,Room per night
319241,Scope 3,Hotel stay,Hotel stay,Russian Federation,Room per night
319242,Scope 3,Hotel stay,Hotel stay,Saudi Arabia,Room per night
319243,Scope 3,Hotel stay,Hotel stay,Singapore,Room per night
319244,Scope 3,Hotel stay,Hotel stay,South Africa,Room per night
319245,Scope 3,Hotel stay,Hotel stay,Spain,Room per night
319246,Scope 3,Hotel stay,Hotel stay,Switzerland,Room per night
319247,Scope 3,Hotel stay,Hotel stay,"Taiwan, China",Room per night
319248,Scope 3,Hotel stay,Hotel stay,Thailand,Room per night
319249,Scope 3,Hotel stay,Hotel stay,Turkey,Room per night
319250,Scope 3,Hotel stay,Hotel stay,United Arab Emirates,Room per night
319251,Scope 3,Hotel stay,Hotel stay,United States,Room per night
319252,Scope 3,Hotel stay,Hotel stay,Vietnam,Room per night
