index,Last level,GHG/Unit,GHG Conversion Factor
32110,Diesel,kg CO2e,0.10996
32111,Diesel,kg CO2e,0.17696
32112,Diesel,kg CO2e,0.13452
32113,Diesel,kg CO2e,0.21649
32114,Diesel,kg CO2e,0.14517
32115,Diesel,kg CO2e,0.23363
32116,Diesel,kg CO2e,0.16194
32117,Diesel,kg CO2e,0.26063
32118,Diesel,kg CO2e,0.17088
32119,Diesel,kg CO2e,0.27501
321110,Diesel,kg CO2e,0.20632
321111,Diesel,kg CO2e,0.33205
321112,Diesel,kg CO2e,0.17323
321113,Diesel,kg CO2e,0.27879
321114,Diesel,kg CO2e,0.19973
321115,Diesel,kg CO2e,0.32145
321116,Diesel,kg CO2e,0.18072
321117,Diesel,kg CO2e,0.29085
32110,Diesel,kg CO2e of CO2 per unit,0.10828
32111,Diesel,kg CO2e of CO2 per unit,0.17425
32112,Diesel,kg CO2e of CO2 per unit,0.13284
32113,Diesel,kg CO2e of CO2 per unit,0.21378
32114,Diesel,kg CO2e of CO2 per unit,0.14349
32115,Diesel,kg CO2e of CO2 per unit,0.23092
32116,Diesel,kg CO2e of CO2 per unit,0.16026
32117,Diesel,kg CO2e of CO2 per unit,0.25792
32118,Diesel,kg CO2e of CO2 per unit,0.1692
32119,Diesel,kg CO2e of CO2 per unit,0.2723
321110,Diesel,kg CO2e of CO2 per unit,0.20464
321111,Diesel,kg CO2e of CO2 per unit,0.32934
321112,Diesel,kg CO2e of CO2 per unit,0.17155
321113,Diesel,kg CO2e of CO2 per unit,0.27608
321114,Diesel,kg CO2e of CO2 per unit,0.19805
321115,Diesel,kg CO2e of CO2 per unit,0.31874
321116,Diesel,kg CO2e of CO2 per unit,0.17904
321117,Diesel,kg CO2e of CO2 per unit,0.28814
32110,Diesel,kg CO2e of CH4 per unit,4.6368e-06
32111,Diesel,kg CO2e of CH4 per unit,1e-05
32112,Diesel,kg CO2e of CH4 per unit,4.6368e-06
32113,Diesel,kg CO2e of CH4 per unit,1e-05
32114,Diesel,kg CO2e of CH4 per unit,4.6368e-06
32115,Diesel,kg CO2e of CH4 per unit,1e-05
32116,Diesel,kg CO2e of CH4 per unit,4.6368e-06
32117,Diesel,kg CO2e of CH4 per unit,1e-05
32118,Diesel,kg CO2e of CH4 per unit,4.6368e-06
32119,Diesel,kg CO2e of CH4 per unit,1e-05
321110,Diesel,kg CO2e of CH4 per unit,4.6368e-06
321111,Diesel,kg CO2e of CH4 per unit,1e-05
321112,Diesel,kg CO2e of CH4 per unit,4.6368e-06
321113,Diesel,kg CO2e of CH4 per unit,1e-05
321114,Diesel,kg CO2e of CH4 per unit,4.6368e-06
321115,Diesel,kg CO2e of CH4 per unit,1e-05
321116,Diesel,kg CO2e of CH4 per unit,4.6368e-06
321117,Diesel,kg CO2e of CH4 per unit,1e-05
32110,Diesel,kg CO2e of N2O per unit,0.00167
32111,Diesel,kg CO2e of N2O per unit,0.00269
32112,Diesel,kg CO2e of N2O per unit,0.00167
32113,Diesel,kg CO2e of N2O per unit,0.00269
32114,Diesel,kg CO2e of N2O per unit,0.00167
32115,Diesel,kg CO2e of N2O per unit,0.00269
32116,Diesel,kg CO2e of N2O per unit,0.00167
32117,Diesel,kg CO2e of N2O per unit,0.00269
32118,Diesel,kg CO2e of N2O per unit,0.00167
32119,Diesel,kg CO2e of N2O per unit,0.00269
321110,Diesel,kg CO2e of N2O per unit,0.00167
321111,Diesel,kg CO2e of N2O per unit,0.00269
321112,Diesel,kg CO2e of N2O per unit,0.00167
321113,Diesel,kg CO2e of N2O per unit,0.00269
321114,Diesel,kg CO2e of N2O per unit,0.00167
321115,Diesel,kg CO2e of N2O per unit,0.00269
321116,Diesel,kg CO2e of N2O per unit,0.00167
321117,Diesel,kg CO2e of N2O per unit,0.00269
32110,Petrol,kg CO2e,0.13063
32111,Petrol,kg CO2e,0.21022
32112,Petrol,kg CO2e,0.14276
32113,Petrol,kg CO2e,0.22974
32114,Petrol,kg CO2e,0.16123
32115,Petrol,kg CO2e,0.25948
32116,Petrol,kg CO2e,0.18535
32117,Petrol,kg CO2e,0.29828
32118,Petrol,kg CO2e,0.20073
32119,Petrol,kg CO2e,0.32304
321110,Petrol,kg CO2e,0.30752
321111,Petrol,kg CO2e,0.4949
321112,Petrol,kg CO2e,0.23396
321113,Petrol,kg CO2e,0.37652
321114,Petrol,kg CO2e,0.19219
321115,Petrol,kg CO2e,0.3093
321116,Petrol,kg CO2e,0.17903
321117,Petrol,kg CO2e,0.28812
32110,Petrol,kg CO2e of CO2 per unit,0.12995
32111,Petrol,kg CO2e of CO2 per unit,0.20913
32112,Petrol,kg CO2e of CO2 per unit,0.14208
32113,Petrol,kg CO2e of CO2 per unit,0.22865
32114,Petrol,kg CO2e of CO2 per unit,0.16055
32115,Petrol,kg CO2e of CO2 per unit,0.25839
32116,Petrol,kg CO2e of CO2 per unit,0.18467
32117,Petrol,kg CO2e of CO2 per unit,0.29719
32118,Petrol,kg CO2e of CO2 per unit,0.20005
32119,Petrol,kg CO2e of CO2 per unit,0.32195
321110,Petrol,kg CO2e of CO2 per unit,0.30684
321111,Petrol,kg CO2e of CO2 per unit,0.49381
321112,Petrol,kg CO2e of CO2 per unit,0.23328
321113,Petrol,kg CO2e of CO2 per unit,0.37543
321114,Petrol,kg CO2e of CO2 per unit,0.19151
321115,Petrol,kg CO2e of CO2 per unit,0.30821
321116,Petrol,kg CO2e of CO2 per unit,0.17835
321117,Petrol,kg CO2e of CO2 per unit,0.28703
32110,Petrol,kg CO2e of CH4 per unit,0.00036
32111,Petrol,kg CO2e of CH4 per unit,0.00057
32112,Petrol,kg CO2e of CH4 per unit,0.00036
32113,Petrol,kg CO2e of CH4 per unit,0.00057
32114,Petrol,kg CO2e of CH4 per unit,0.00036
32115,Petrol,kg CO2e of CH4 per unit,0.00057
32116,Petrol,kg CO2e of CH4 per unit,0.00036
32117,Petrol,kg CO2e of CH4 per unit,0.00057
32118,Petrol,kg CO2e of CH4 per unit,0.00036
32119,Petrol,kg CO2e of CH4 per unit,0.00057
321110,Petrol,kg CO2e of CH4 per unit,0.00036
321111,Petrol,kg CO2e of CH4 per unit,0.00057
321112,Petrol,kg CO2e of CH4 per unit,0.00036
321113,Petrol,kg CO2e of CH4 per unit,0.00057
321114,Petrol,kg CO2e of CH4 per unit,0.00036
321115,Petrol,kg CO2e of CH4 per unit,0.00057
