index,Scope,Level 1,Activity,Material,Last level,UOM,GHG/Unit,GHG Conversion Factor
3910,Scope 3,Material use,Construction,Aggregates,Primary material production,tonnes,kg CO2e,7.79306
3911,Scope 3,Material use,Construction,Average construction,Primary material production,tonnes,kg CO2e,75.00675
3912,Scope 3,Material use,Construction,Asbestos,Primary material production,tonnes,kg CO2e,27.0
3913,Scope 3,Material use,Construction,Asphalt,Primary material production,tonnes,kg CO2e,39.21249
3914,Scope 3,Material use,Construction,Bricks,Primary material production,tonnes,kg CO2e,241.79306
3915,Scope 3,Material use,Construction,Concrete,Primary material production,tonnes,kg CO2e,118.79306
3916,Scope 3,Material use,Construction,Insulation,Primary material production,tonnes,kg CO2e,1861.79306
3917,Scope 3,Material use,Construction,Metals,Primary material production,tonnes,kg CO2e,3824.09335
3918,Scope 3,Material use,Construction,Soils,Primary material production,tonnes,kg CO2e,
3919,Scope 3,Material use,Construction,Mineral oil,Primary material production,tonnes,kg CO2e,1401.0
39110,Scope 3,Material use,Construction,Plasterboard,Primary material production,tonnes,kg CO2e,120.05
39111,Scope 3,Material use,Construction,Tyres,Primary material production,tonnes,kg CO2e,3335.5719
39112,Scope 3,Material use,Construction,Wood,Primary material production,tonnes,kg CO2e,269.50416
3910,Scope 3,Material use,Construction,Aggregates,Re-used,tonnes,kg CO2e,2.21
3911,Scope 3,Material use,Construction,Average construction,Re-used,tonnes,kg CO2e,
3912,Scope 3,Material use,Construction,Asbestos,Re-used,tonnes,kg CO2e,
3913,Scope 3,Material use,Construction,Asphalt,Re-used,tonnes,kg CO2e,1.73826
3914,Scope 3,Material use,Construction,Bricks,Re-used,tonnes,kg CO2e,
3915,Scope 3,Material use,Construction,Concrete,Re-used,tonnes,kg CO2e,
3916,Scope 3,Material use,Construction,Insulation,Re-used,tonnes,kg CO2e,
3917,Scope 3,Material use,Construction,Metals,Re-used,tonnes,kg CO2e,
3918,Scope 3,Material use,Construction,Soils,Re-used,tonnes,kg CO2e,
3919,Scope 3,Material use,Construction,Mineral oil,Re-used,tonnes,kg CO2e,
39110,Scope 3,Material use,Construction,Plasterboard,Re-used,tonnes,kg CO2e,
39111,Scope 3,Material use,Construction,Tyres,Re-used,tonnes,kg CO2e,731.21789
39112,Scope 3,Material use,Construction,Wood,Re-used,tonnes,kg CO2e,38.54288
3910,Scope 3,Material use,Construction,Aggregates,Open-loop source,tonnes,kg CO2e,
3911,Scope 3,Material use,Construction,Average construction,Open-loop source,tonnes,kg CO2e,
