index,Last level,GHG/Unit,GHG Conversion Factor
3910,Primary material production,kg CO2e,7.79306
3911,Primary material production,kg CO2e,75.00675
3912,Primary material production,kg CO2e,27.0
3913,Primary material production,kg CO2e,39.21249
3914,Primary material production,kg CO2e,241.79306
3915,Primary material production,kg CO2e,118.79306
3916,Primary material production,kg CO2e,1861.79306
3917,Primary material production,kg CO2e,3824.09335
3918,Primary material production,kg CO2e,
3919,Primary material production,kg CO2e,1401.0
39110,Primary material production,kg CO2e,120.05
39111,Primary material production,kg CO2e,3335.5719
39112,Primary material production,kg CO2e,269.50416
3910,Re-used,kg CO2e,2.21
3911,Re-used,kg CO2e,
3912,Re-used,kg CO2e,
3913,Re-used,kg CO2e,1.73826
3914,Re-used,kg CO2e,
3915,Re-used,kg CO2e,
3916,Re-used,kg CO2e,
3917,Re-used,kg CO2e,
3918,Re-used,kg CO2e,
3919,Re-used,kg CO2e,
39110,Re-used,kg CO2e,
39111,Re-used,kg CO2e,731.21789
39112,Re-used,kg CO2e,38.54288
3910,Open-loop source,kg CO2e,
3911,Open-loop source,kg CO2e,
3912,Open-loop source,kg CO2e,
3913,Open-loop source,kg CO2e,
3914,Open-loop source,kg CO2e,
3915,Open-loop source,kg CO2e,
3916,Open-loop source,kg CO2e,
3917,Open-loop source,kg CO2e,
3918,Open-loop source,kg CO2e,
3919,Open-loop source,kg CO2e,
39110,Open-loop source,kg CO2e,
39111,Open-loop source,kg CO2e,
39112,Open-loop source,kg CO2e,
3910,Closed-loop source,kg CO2e,3.21835
3911,Closed-loop source,kg CO2e,
3912,Closed-loop source,kg CO2e,
3913,Closed-loop source,kg CO2e,28.67835
3914,Closed-loop source,kg CO2e,
3915,Closed-loop source,kg CO2e,3.21835
3916,Closed-loop source,kg CO2e,1852.12293
3917,Closed-loop source,kg CO2e,1638.74406
3918,Closed-loop source,kg CO2e,1.00835
3919,Closed-loop source,kg CO2e,676.0
39110,Closed-loop source,kg CO2e,32.17
39111,Closed-loop source,kg CO2e,
39112,Closed-loop source,kg CO2e,
3920,Primary material production,kg CO2e,
3921,Primary material production,kg CO2e,1402.76667
3922,Primary material production,kg CO2e,22310.0
3923,Primary material production,kg CO2e,3701.40359
3920,Re-used,kg CO2e,
3921,Re-used,kg CO2e,
3922,Re-used,kg CO2e,152.25
3923,Re-used,kg CO2e,
3920,Open-loop source,kg CO2e,
3921,Open-loop source,kg CO2e,
3922,Open-loop source,kg CO2e,
3923,Open-loop source,kg CO2e,
3920,Closed-loop source,kg CO2e,
3921,Closed-loop source,kg CO2e,823.18954
3922,Closed-loop source,kg CO2e,
3923,Closed-loop source,kg CO2e,
3930,Primary material production,kg CO2e,112.08811
3931,Primary material production,kg CO2e,114.90473
3930,Re-used,kg CO2e,
3931,Re-used,kg CO2e,
3930,Open-loop source,kg CO2e,
3931,Open-loop source,kg CO2e,
3930,Closed-loop source,kg CO2e,
3931,Closed-loop source,kg CO2e,
3940,Primary material production,kg CO2e,4363.33333
3941,Primary material production,kg CO2e,3267.0
3942,Primary material production,kg CO2e,24865.47556
3943,Primary material production,kg CO2e,5647.94563
3944,Primary material production,kg CO2e,4633.47826
3945,Primary material production,kg CO2e,6308.0
3946,Primary material production,kg CO2e,28380.0
3940,Re-used,kg CO2e,
3941,Re-used,kg CO2e,
3942,Re-used,kg CO2e,
3943,Re-used,kg CO2e,
3944,Re-used,kg CO2e,
3945,Re-used,kg CO2e,
3946,Re-used,kg CO2e,
3940,Open-loop source,kg CO2e,
3941,Open-loop source,kg CO2e,
3942,Open-loop source,kg CO2e,
3943,Open-loop source,kg CO2e,
3944,Open-loop source,kg CO2e,
3945,Open-loop source,kg CO2e,
3946,Open-loop source,kg CO2e,
3940,Closed-loop source,kg CO2e,
3941,Closed-loop source,kg CO2e,
3942,Closed-loop source,kg CO2e,
3943,Closed-loop source,kg CO2e,
3944,Closed-loop source,kg CO2e,
3945,Closed-loop source,kg CO2e,
3946,Closed-loop source,kg CO2e,
3950,Primary material production,kg CO2e,9115.90131
3951,Primary material production,kg CO2e,5114.62131
3952,Primary material production,kg CO2e,3473.11953
3953,Primary material production,kg CO2e,2863.90131
3950,Re-used,kg CO2e,
3951,Re-used,kg CO2e,
3952,Re-used,kg CO2e,
3953,Re-used,kg CO2e,
3950,Open-loop source,kg CO2e,
3951,Open-loop source,kg CO2e,
3952,Open-loop source,kg CO2e,
3953,Open-loop source,kg CO2e,
3950,Closed-loop source,kg CO2e,995.0779
3951,Closed-loop source,kg CO2e,1525.52488
3952,Closed-loop source,kg CO2e,1706.42359
3953,Closed-loop source,kg CO2e,1823.90131
3960,Primary material production,kg CO2e,3172.49932
3961,Primary material production,kg CO2e,2916.50513
3962,Primary material production,kg CO2e,3354.28062
3963,Primary material production,kg CO2e,3095.15524
3964,Primary material production,kg CO2e,2965.0779
3965,Primary material production,kg CO2e,3863.90131
3966,Primary material production,kg CO2e,2577.57172
3967,Primary material production,kg CO2e,4376.80391
3968,Primary material production,kg CO2e,2944.75615
3960,Re-used,kg CO2e,
3961,Re-used,kg CO2e,
3962,Re-used,kg CO2e,
3963,Re-used,kg CO2e,
3964,Re-used,kg CO2e,
3965,Re-used,kg CO2e,
3966,Re-used,kg CO2e,
3967,Re-used,kg CO2e,
3968,Re-used,kg CO2e,
3960,Open-loop source,kg CO2e,
3961,Open-loop source,kg CO2e,
3962,Open-loop source,kg CO2e,
3963,Open-loop source,kg CO2e,
3964,Open-loop source,kg CO2e,
3965,Open-loop source,kg CO2e,
3966,Open-loop source,kg CO2e,
3967,Open-loop source,kg CO2e,
3968,Open-loop source,kg CO2e,
3960,Closed-loop source,kg CO2e,1575.39106
3961,Closed-loop source,kg CO2e,1103.56537
3962,Closed-loop source,kg CO2e,1915.72549
3963,Closed-loop source,kg CO2e,1770.79099
3964,Closed-loop source,kg CO2e,1097.90131
3965,Closed-loop source,kg CO2e,2213.90131
3966,Closed-loop source,kg CO2e,1312.57172
3967,Closed-loop source,kg CO2e,2669.76255
3968,Closed-loop source,kg CO2e,1847.82267
3970,Primary material production,kg CO2e,1199.72542
3971,Primary material production,kg CO2e,1288.50358
3972,Primary material production,kg CO2e,1345.0779
3970,Re-used,kg CO2e,
3971,Re-used,kg CO2e,
3972,Re-used,kg CO2e,
3970,Open-loop source,kg CO2e,
3971,Open-loop source,kg CO2e,
3972,Open-loop source,kg CO2e,
3970,Closed-loop source,kg CO2e,1098.11442
3971,Closed-loop source,kg CO2e,1068.77475
3972,Closed-loop source,kg CO2e,1050.0779
