index,Scope,Level 1,Activity,Material,Unit
3910,Scope 3,Material use,Construction,Aggregates,tonnes
3911,Scope 3,Material use,Construction,Average construction,tonnes
3912,Scope 3,Material use,Construction,Asbestos,tonnes
3913,Scope 3,Material use,Construction,Asphalt,tonnes
3914,Scope 3,Material use,Construction,Bricks,tonnes
3915,Scope 3,Material use,Construction,Concrete,tonnes
3916,Scope 3,Material use,Construction,Insulation,tonnes
3917,Scope 3,Material use,Construction,Metals,tonnes
3918,Scope 3,Material use,Construction,Soils,tonnes
3919,Scope 3,Material use,Construction,Mineral oil,tonnes
39110,Scope 3,Material use,Construction,Plasterboard,tonnes
39111,Scope 3,Material use,Construction,Tyres,tonnes
39112,Scope 3,Material use,Construction,Wood,tonnes
3920,Scope 3,Material use,Other,Books,tonnes
3921,Scope 3,Material use,Other,Glass,tonnes
3922,Scope 3,Material use,Other,Clothing,tonnes
3923,Scope 3,Material use,Other,Food and drink,tonnes
3930,Scope 3,Material use,Organic,Compost derived from garden waste,tonnes
3931,Scope 3,Material use,Organic,Compost derived from food and garden waste,tonnes
3940,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,tonnes
3941,Scope 3,Material use,Electrical items,Electrical items - large,tonnes
3942,Scope 3,Material use,Electrical items,Electrical items - IT,tonnes
3943,Scope 3,Material use,Electrical items,Electrical items - small,tonnes
3944,Scope 3,Material use,Electrical items,Batteries - Alkaline,tonnes
3945,Scope 3,Material use,Electrical items,Batteries - Li ion,tonnes
3946,Scope 3,Material use,Electrical items,Batteries - NiMh,tonnes
3950,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),tonnes
3951,Scope 3,Material use,Metal,Metal: mixed cans,tonnes
3952,Scope 3,Material use,Metal,Metal: scrap metal,tonnes
3953,Scope 3,Material use,Metal,Metal: steel cans,tonnes
3960,Scope 3,Material use,Plastic,Plastics: average plastics,tonnes
3961,Scope 3,Material use,Plastic,Plastics: average plastic film,tonnes
3962,Scope 3,Material use,Plastic,Plastics: average plastic rigid,tonnes
3963,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),tonnes
3964,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),tonnes
3965,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),tonnes
3966,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),tonnes
3967,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),tonnes
3968,Scope 3,Material use,Plastic,Plastics: PVC (incl. forming),tonnes
3970,Scope 3,Material use,Paper,Paper and board: board,tonnes
3971,Scope 3,Material use,Paper,Paper and board: mixed,tonnes
3972,Scope 3,Material use,Paper,Paper and board: paper,tonnes
