index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
3410,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
3411,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,
3412,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00252
3413,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00406
3414,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00094
3415,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00152
3416,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00101
3417,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00163
3418,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00083
3419,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00133
34110,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00097
34111,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00155
34112,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00071
34113,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00114
34114,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00138
34115,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00222
34116,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00174
34117,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00282
3410,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,
3411,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,
3412,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00249
3413,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00401
3414,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00092
3415,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00149
3416,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00099
3417,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0016
3418,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00081
3419,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0013
34110,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00095
34111,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00152
34112,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00069
34113,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00111
34114,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00135
34115,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00218
34116,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00171
34117,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00276
3410,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,
3411,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,
3412,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3413,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,2e-05
3414,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3415,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
3416,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3417,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
3418,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3419,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
34110,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
34111,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
34112,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
34113,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
34114,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
34115,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,1e-05
34116,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
34117,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,2e-05
