index,GHG/Unit,GHG Conversion Factor
3210,kg CO2e,0.61516
3211,kg CO2e,28.909
3212,kg CO2e,0.77476
3213,kg CO2e,0.39508
3214,kg CO2e,11.933
3215,kg CO2e,0.44391
3216,kg CO2e,
3217,kg CO2e,15.797
3218,kg CO2e,0.77405
3219,kg CO2e,0.3534
32110,kg CO2e,10.6742
32111,kg CO2e,0.39708
32112,kg CO2e,0.53232
32113,kg CO2e,16.07836
32114,kg CO2e,0.59812
32115,kg CO2e,0.56439
32116,kg CO2e,16.445
32117,kg CO2e,0.72358
32118,kg CO2e,0.15752
32119,kg CO2e,6.613
32120,kg CO2e,0.30684
32121,kg CO2e,0.83338
32122,kg CO2e,23.32
32123,kg CO2e,1.0034
32124,kg CO2e,0.76505
32125,kg CO2e,23.097
32126,kg CO2e,1.03129
32127,kg CO2e,0.39508
32128,kg CO2e,11.933
32129,kg CO2e,0.44391
32130,kg CO2e,
32131,kg CO2e,23.903
32132,kg CO2e,1.17125
32133,kg CO2e,0.59414
32134,kg CO2e,37.597
32135,kg CO2e,0.74923
32136,kg CO2e,0.53386
32137,kg CO2e,15.256
32138,kg CO2e,0.67052
3220,kg CO2e,52.14
3221,kg CO2e,0.01277
3222,kg CO2e,30.4
3223,kg CO2e,0.00792
3224,kg CO2e,177.0
3225,kg CO2e,0.03744
3226,kg CO2e,68.65
3227,kg CO2e,0.01604
3230,kg CO2e,102.85714
3231,kg CO2e,0.01851
3232,kg CO2e,0.0
3233,kg CO2e,0.0
