index,Last level,GHG/Unit,GHG Conversion Factor
3210,Diesel,kg CO2e,0.20817
3211,Diesel,kg CO2e,0.03746
3212,Diesel,kg CO2e,0.06028
3213,Diesel,kg CO2e,0.14937
3214,Diesel,kg CO2e,0.04602
3215,Diesel,kg CO2e,0.07407
3216,Diesel,kg CO2e,0.15037
3217,Diesel,kg CO2e,0.06706
3218,Diesel,kg CO2e,0.10792
3219,Diesel,kg CO2e,0.15095
32110,Diesel,kg CO2e,0.06128
32111,Diesel,kg CO2e,0.09863
3210,Petrol,kg CO2e,0.32847
3211,Petrol,kg CO2e,0.05614
3212,Petrol,kg CO2e,0.09035
3213,Petrol,kg CO2e,0.23153
3214,Petrol,kg CO2e,0.06074
3215,Petrol,kg CO2e,0.09775
3216,Petrol,kg CO2e,0.24164
3217,Petrol,kg CO2e,0.09783
3218,Petrol,kg CO2e,0.15745
3219,Petrol,kg CO2e,0.22943
32110,Petrol,kg CO2e,0.06183
32111,Petrol,kg CO2e,0.0995
3210,CNG,kg CO2e,
3211,CNG,kg CO2e,
3212,CNG,kg CO2e,
3213,CNG,kg CO2e,
3214,CNG,kg CO2e,
3215,CNG,kg CO2e,
3216,CNG,kg CO2e,
3217,CNG,kg CO2e,
3218,CNG,kg CO2e,
3219,CNG,kg CO2e,0.12816
32110,CNG,kg CO2e,0.05176
32111,CNG,kg CO2e,0.0833
3210,LPG,kg CO2e,
3211,LPG,kg CO2e,
3212,LPG,kg CO2e,
3213,LPG,kg CO2e,
3214,LPG,kg CO2e,
3215,LPG,kg CO2e,
3216,LPG,kg CO2e,
3217,LPG,kg CO2e,
3218,LPG,kg CO2e,
3219,LPG,kg CO2e,0.08119
32110,LPG,kg CO2e,0.03279
32111,LPG,kg CO2e,0.05277
3210,Unknown,kg CO2e,
3211,Unknown,kg CO2e,
3212,Unknown,kg CO2e,
3213,Unknown,kg CO2e,
3214,Unknown,kg CO2e,
3215,Unknown,kg CO2e,
3216,Unknown,kg CO2e,
3217,Unknown,kg CO2e,
3218,Unknown,kg CO2e,
3219,Unknown,kg CO2e,0.15335
32110,Unknown,kg CO2e,0.0613
32111,Unknown,kg CO2e,0.09865
3210,Plug-in Hybrid Electric Vehicle,kg CO2e,
3211,Plug-in Hybrid Electric Vehicle,kg CO2e,
3212,Plug-in Hybrid Electric Vehicle,kg CO2e,
3213,Plug-in Hybrid Electric Vehicle,kg CO2e,
3214,Plug-in Hybrid Electric Vehicle,kg CO2e,
3215,Plug-in Hybrid Electric Vehicle,kg CO2e,
3216,Plug-in Hybrid Electric Vehicle,kg CO2e,0.09458
3217,Plug-in Hybrid Electric Vehicle,kg CO2e,0.03758
3218,Plug-in Hybrid Electric Vehicle,kg CO2e,0.06047
3219,Plug-in Hybrid Electric Vehicle,kg CO2e,0.09458
32110,Plug-in Hybrid Electric Vehicle,kg CO2e,0.03758
32111,Plug-in Hybrid Electric Vehicle,kg CO2e,0.06047
3210,Battery Electric Vehicle,kg CO2e,0.03481
3211,Battery Electric Vehicle,kg CO2e,0.00943
3212,Battery Electric Vehicle,kg CO2e,0.01517
3213,Battery Electric Vehicle,kg CO2e,0.0619
3214,Battery Electric Vehicle,kg CO2e,0.01454
3215,Battery Electric Vehicle,kg CO2e,0.0234
3216,Battery Electric Vehicle,kg CO2e,0.05241
3217,Battery Electric Vehicle,kg CO2e,0.01979
3218,Battery Electric Vehicle,kg CO2e,0.03186
3219,Battery Electric Vehicle,kg CO2e,0.05633
32110,Battery Electric Vehicle,kg CO2e,0.01759
32111,Battery Electric Vehicle,kg CO2e,0.02832
3220,0% Laden,kg CO2e,
3221,0% Laden,kg CO2e,0.11027
3222,0% Laden,kg CO2e,0.17746
3223,0% Laden,kg CO2e,
3224,0% Laden,kg CO2e,0.13207
3225,0% Laden,kg CO2e,0.21255
3226,0% Laden,kg CO2e,
3227,0% Laden,kg CO2e,0.18172
3228,0% Laden,kg CO2e,0.29244
3229,0% Laden,kg CO2e,
32210,0% Laden,kg CO2e,0.16044
32211,0% Laden,kg CO2e,0.2582
32212,0% Laden,kg CO2e,
32213,0% Laden,kg CO2e,0.14831
32214,0% Laden,kg CO2e,0.23868
32215,0% Laden,kg CO2e,
32216,0% Laden,kg CO2e,0.15178
32217,0% Laden,kg CO2e,0.24426
32218,0% Laden,kg CO2e,
32219,0% Laden,kg CO2e,0.15162
32220,0% Laden,kg CO2e,0.24401
32221,0% Laden,kg CO2e,
32222,0% Laden,kg CO2e,0.15527
32223,0% Laden,kg CO2e,0.24987
3220,50% Laden,kg CO2e,0.10694
3221,50% Laden,kg CO2e,0.11985
3222,50% Laden,kg CO2e,0.19289
3223,50% Laden,kg CO2e,0.06373
3224,50% Laden,kg CO2e,0.15094
3225,50% Laden,kg CO2e,0.24292
3226,50% Laden,kg CO2e,0.04878
3227,50% Laden,kg CO2e,0.2216
3228,50% Laden,kg CO2e,0.35664
3229,50% Laden,kg CO2e,0.05202
32210,50% Laden,kg CO2e,0.19131
32211,50% Laden,kg CO2e,0.30788
32212,50% Laden,kg CO2e,0.02731
32213,50% Laden,kg CO2e,0.18538
32214,50% Laden,kg CO2e,0.29835
32215,50% Laden,kg CO2e,0.02244
32216,50% Laden,kg CO2e,0.20237
32217,50% Laden,kg CO2e,0.32568
32218,50% Laden,kg CO2e,0.02257
32219,50% Laden,kg CO2e,0.20159
32220,50% Laden,kg CO2e,0.32444
32221,50% Laden,kg CO2e,0.02886
32222,50% Laden,kg CO2e,0.19734
32223,50% Laden,kg CO2e,0.31759
3220,100% Laden,kg CO2e,0.05775
3221,100% Laden,kg CO2e,0.12944
3222,100% Laden,kg CO2e,0.20832
3223,100% Laden,kg CO2e,0.03585
3224,100% Laden,kg CO2e,0.16981
3225,100% Laden,kg CO2e,0.27328
3226,100% Laden,kg CO2e,0.02878
3227,100% Laden,kg CO2e,0.26149
3228,100% Laden,kg CO2e,0.42083
3229,100% Laden,kg CO2e,0.03038
32210,100% Laden,kg CO2e,0.22218
32211,100% Laden,kg CO2e,0.35756
32212,100% Laden,kg CO2e,0.01639
32213,100% Laden,kg CO2e,0.22246
32214,100% Laden,kg CO2e,0.35802
32215,100% Laden,kg CO2e,0.01403
32216,100% Laden,kg CO2e,0.25296
32217,100% Laden,kg CO2e,0.4071
32218,100% Laden,kg CO2e,0.01409
32219,100% Laden,kg CO2e,0.25157
32220,100% Laden,kg CO2e,0.40486
32221,100% Laden,kg CO2e,0.01757
32222,100% Laden,kg CO2e,0.23942
32223,100% Laden,kg CO2e,0.38531
3220,Average laden,kg CO2e,0.12296
3221,Average laden,kg CO2e,0.11851
3222,Average laden,kg CO2e,0.19073
3223,Average laden,kg CO2e,0.09246
3224,Average laden,kg CO2e,0.14453
3225,Average laden,kg CO2e,0.23259
3226,Average laden,kg CO2e,0.03736
3227,Average laden,kg CO2e,0.23756
3228,Average laden,kg CO2e,0.38231
3229,Average laden,kg CO2e,0.04332
32210,Average laden,kg CO2e,0.20099
32211,Average laden,kg CO2e,0.32347
32212,Average laden,kg CO2e,0.02731
32213,Average laden,kg CO2e,0.18538
32214,Average laden,kg CO2e,0.29835
32215,Average laden,kg CO2e,0.01799
32216,Average laden,kg CO2e,0.22058
32217,Average laden,kg CO2e,0.35499
32218,Average laden,kg CO2e,0.01823
32219,Average laden,kg CO2e,0.21898
32220,Average laden,kg CO2e,0.35241
32221,Average laden,kg CO2e,0.02359
32222,Average laden,kg CO2e,0.21154
32223,Average laden,kg CO2e,0.34045
3230,0% Laden,kg CO2e,
3231,0% Laden,kg CO2e,0.13155
3232,0% Laden,kg CO2e,0.2117
3233,0% Laden,kg CO2e,
3234,0% Laden,kg CO2e,0.15756
3235,0% Laden,kg CO2e,0.25357
3236,0% Laden,kg CO2e,
3237,0% Laden,kg CO2e,0.21678
3238,0% Laden,kg CO2e,0.34888
3239,0% Laden,kg CO2e,
32310,0% Laden,kg CO2e,0.1914
32311,0% Laden,kg CO2e,0.30803
32312,0% Laden,kg CO2e,
32313,0% Laden,kg CO2e,0.17199
32314,0% Laden,kg CO2e,0.27679
32315,0% Laden,kg CO2e,
32316,0% Laden,kg CO2e,0.17602
32317,0% Laden,kg CO2e,0.28327
32318,0% Laden,kg CO2e,
32319,0% Laden,kg CO2e,0.17583
32320,0% Laden,kg CO2e,0.28297
32321,0% Laden,kg CO2e,
32322,0% Laden,kg CO2e,0.1822
32323,0% Laden,kg CO2e,0.29322
3230,50% Laden,kg CO2e,0.12758
3231,50% Laden,kg CO2e,0.14299
3232,50% Laden,kg CO2e,0.23011
3233,50% Laden,kg CO2e,0.07603
