index,Scope,Level 1,Activity,Type,Unit,Size
3210,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),tonne.km,
3211,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),km,
3212,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),miles,
3213,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),tonne.km,
3214,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),km,
3215,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),miles,
3216,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),tonne.km,
3217,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),km,
3218,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),miles,
3219,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),tonne.km,
32110,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),km,
32111,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),miles,
3220,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),tonne.km,
3221,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),km,
3222,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),miles,
3223,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),tonne.km,
3224,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),km,
3225,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),miles,
3226,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),tonne.km,
3227,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),km,
3228,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),miles,
3229,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,tonne.km,
32210,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,km,
32211,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,miles,
32212,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),tonne.km,
32213,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),km,
32214,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),miles,
32215,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),tonne.km,
32216,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),km,
32217,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),miles,
32218,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,tonne.km,
32219,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,km,
32220,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All artics,miles,
32221,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,tonne.km,
32222,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,km,
32223,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All HGVs,miles,
3230,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),tonne.km,
3231,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),km,
3232,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),miles,
3233,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),tonne.km,
3234,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),km,
3235,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),miles,
3236,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),tonne.km,
3237,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),km,
3238,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Rigid (>17 tonnes),miles,
3239,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,tonne.km,
32310,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,km,
32311,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All rigids,miles,
32312,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),tonne.km,
32313,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),km,
32314,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>3.5 - 33t),miles,
32315,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),tonne.km,
32316,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),km,
32317,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),Articulated (>33t),miles,
32318,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,tonne.km,
32319,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,km,
32320,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All artics,miles,
32321,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,tonne.km,
32322,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,km,
32323,Scope 3,WTT- delivery vehs & freight,WTT- HGV refrigerated (all diesel),All HGVs,miles,
3240,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Domestic, to/from UK",tonne.km,
3241,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Short-haul, to/from UK",tonne.km,
3242,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"Long-haul, to/from UK",tonne.km,
3243,Scope 3,WTT- delivery vehs & freight,WTT- freight flights,"International, to/from non-UK",tonne.km,
3250,Scope 3,WTT- delivery vehs & freight,WTT- rail,Freight train,tonne.km,
3260,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,tonne.km,"200,000+ dwt"
3261,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,tonne.km,"120,000–199,999 dwt"
3262,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,tonne.km,"80,000–119,999 dwt"
3263,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,tonne.km,"60,000–79,999 dwt"
3264,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,tonne.km,"10,000–59,999 dwt"
3265,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,tonne.km,0–9999 dwt
3266,Scope 3,WTT- delivery vehs & freight,WTT- sea tanker,Crude tanker,tonne.km,Average
