index,Scope,Level 1,Activity,Fuel,UOM,GHG/Unit,GHG Conversion Factor
3110,Scope 3,WTT- fuels,Gaseous fuels,Butane,tonnes,kg CO2e,344.30947
3111,Scope 3,WTT- fuels,Gaseous fuels,Butane,litres,kg CO2e,0.19765
3112,Scope 3,WTT- fuels,Gaseous fuels,Butane,kWh (Net CV),kg CO2e,0.02736
3113,Scope 3,WTT- fuels,Gaseous fuels,Butane,kWh (Gross CV),kg CO2e,0.02524
3114,Scope 3,WTT- fuels,Gaseous fuels,CNG,tonnes,kg CO2e,530.77887
3115,Scope 3,WTT- fuels,Gaseous fuels,CNG,litres,kg CO2e,0.09289
3116,Scope 3,WTT- fuels,Gaseous fuels,CNG,kWh (Net CV),kg CO2e,0.04198
3117,Scope 3,WTT- fuels,Gaseous fuels,CNG,kWh (Gross CV),kg CO2e,0.03789
3118,Scope 3,WTT- fuels,Gaseous fuels,LNG,tonnes,kg CO2e,912.22817
3119,Scope 3,WTT- fuels,Gaseous fuels,LNG,litres,kg CO2e,0.41277
31110,Scope 3,WTT- fuels,Gaseous fuels,LNG,kWh (Net CV),kg CO2e,0.07214
31111,Scope 3,WTT- fuels,Gaseous fuels,LNG,kWh (Gross CV),kg CO2e,0.06512
31112,Scope 3,WTT- fuels,Gaseous fuels,LPG,tonnes,kg CO2e,349.29282
31113,Scope 3,WTT- fuels,Gaseous fuels,LPG,litres,kg CO2e,0.18551
31114,Scope 3,WTT- fuels,Gaseous fuels,LPG,kWh (Net CV),kg CO2e,0.02736
31115,Scope 3,WTT- fuels,Gaseous fuels,LPG,kWh (Gross CV),kg CO2e,0.02548
31116,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,tonnes,kg CO2e,423.16368
31117,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,cubic metres,kg CO2e,0.3366
31118,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,kWh (Net CV),kg CO2e,0.03347
31119,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,kWh (Gross CV),kg CO2e,0.03021
31120,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),tonnes,kg CO2e,423.16368
31121,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),cubic metres,kg CO2e,0.3366
31122,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),kWh (Net CV),kg CO2e,0.03347
31123,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),kWh (Gross CV),kg CO2e,0.03021
31124,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,tonnes,kg CO2e,302.95197
31125,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,litres,kg CO2e,0.11097
31126,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,kWh (Net CV),kg CO2e,0.0234
31127,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,kWh (Gross CV),kg CO2e,0.02153
31128,Scope 3,WTT- fuels,Gaseous fuels,Propane,tonnes,kg CO2e,352.67018
31129,Scope 3,WTT- fuels,Gaseous fuels,Propane,litres,kg CO2e,0.1817
31130,Scope 3,WTT- fuels,Gaseous fuels,Propane,kWh (Net CV),kg CO2e,0.02736
31131,Scope 3,WTT- fuels,Gaseous fuels,Propane,kWh (Gross CV),kg CO2e,0.02519
3120,Scope 3,WTT- fuels,Liquid fuels,Aviation spirit,tonnes,kg CO2e,813.26357
3121,Scope 3,WTT- fuels,Liquid fuels,Aviation spirit,litres,kg CO2e,0.61425
3122,Scope 3,WTT- fuels,Liquid fuels,Aviation spirit,kWh (Net CV),kg CO2e,0.06582
3123,Scope 3,WTT- fuels,Liquid fuels,Aviation spirit,kWh (Gross CV),kg CO2e,0.06253
3124,Scope 3,WTT- fuels,Liquid fuels,Aviation turbine fuel,tonnes,kg CO2e,661.79468
3125,Scope 3,WTT- fuels,Liquid fuels,Aviation turbine fuel,litres,kg CO2e,0.52817
3126,Scope 3,WTT- fuels,Liquid fuels,Aviation turbine fuel,kWh (Net CV),kg CO2e,0.05424
3127,Scope 3,WTT- fuels,Liquid fuels,Aviation turbine fuel,kWh (Gross CV),kg CO2e,0.05153
3128,Scope 3,WTT- fuels,Liquid fuels,Burning oil,tonnes,kg CO2e,660.82605
3129,Scope 3,WTT- fuels,Liquid fuels,Burning oil,litres,kg CO2e,0.53078
31210,Scope 3,WTT- fuels,Liquid fuels,Burning oil,kWh (Net CV),kg CO2e,0.05424
31211,Scope 3,WTT- fuels,Liquid fuels,Burning oil,kWh (Gross CV),kg CO2e,0.05153
31212,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),tonnes,kg CO2e,733.64436
31213,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),litres,kg CO2e,0.61101
31214,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),kWh (Net CV),kg CO2e,0.06181
31215,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),kWh (Gross CV),kg CO2e,0.05816
31216,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),tonnes,kg CO2e,752.0276
31217,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),litres,kg CO2e,0.62409
31218,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),kWh (Net CV),kg CO2e,0.06291
31219,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),kWh (Gross CV),kg CO2e,0.05913
31220,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,tonnes,kg CO2e,714.86545
31221,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,litres,kg CO2e,0.69539
31222,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,kWh (Net CV),kg CO2e,0.06291
31223,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,kWh (Gross CV),kg CO2e,0.05913
31224,Scope 3,WTT- fuels,Liquid fuels,Gas oil,tonnes,kg CO2e,743.83524
31225,Scope 3,WTT- fuels,Liquid fuels,Gas oil,litres,kg CO2e,0.62665
31226,Scope 3,WTT- fuels,Liquid fuels,Gas oil,kWh (Net CV),kg CO2e,0.06291
31227,Scope 3,WTT- fuels,Liquid fuels,Gas oil,kWh (Gross CV),kg CO2e,0.05913
31228,Scope 3,WTT- fuels,Liquid fuels,Lubricants,tonnes,kg CO2e,1116.83712
31229,Scope 3,WTT- fuels,Liquid fuels,Lubricants,litres,kg CO2e,
31230,Scope 3,WTT- fuels,Liquid fuels,Lubricants,kWh (Net CV),kg CO2e,0.09828
31231,Scope 3,WTT- fuels,Liquid fuels,Lubricants,kWh (Gross CV),kg CO2e,0.09238
31232,Scope 3,WTT- fuels,Liquid fuels,Naphtha,tonnes,kg CO2e,640.41464
31233,Scope 3,WTT- fuels,Liquid fuels,Naphtha,litres,kg CO2e,
31234,Scope 3,WTT- fuels,Liquid fuels,Naphtha,kWh (Net CV),kg CO2e,0.05076
31235,Scope 3,WTT- fuels,Liquid fuels,Naphtha,kWh (Gross CV),kg CO2e,0.04822
31236,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),tonnes,kg CO2e,777.33392
31237,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),litres,kg CO2e,0.58094
31238,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),kWh (Net CV),kg CO2e,0.0648
31239,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),kWh (Gross CV),kg CO2e,0.0614
31240,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),tonnes,kg CO2e,815.93523
31241,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),litres,kg CO2e,0.60664
31242,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),kWh (Net CV),kg CO2e,0.06582
31243,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),kWh (Gross CV),kg CO2e,0.06253
31244,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,tonnes,kg CO2e,1132.08149
31245,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,litres,kg CO2e,1.10125
31246,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,kWh (Net CV),kg CO2e,0.09962
31247,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,kWh (Gross CV),kg CO2e,0.09364
31248,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,tonnes,kg CO2e,1123.49881
31249,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,litres,kg CO2e,0.9465
31250,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,kWh (Net CV),kg CO2e,0.09501
31251,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,kWh (Gross CV),kg CO2e,0.08931
31252,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,tonnes,kg CO2e,348.98258
31253,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,litres,kg CO2e,
31254,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,kWh (Net CV),kg CO2e,0.03077
31255,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,kWh (Gross CV),kg CO2e,0.02923
