index,GHG/Unit,GHG Conversion Factor
3110,kg CO2e,344.30947
3111,kg CO2e,0.19765
3112,kg CO2e,0.02736
3113,kg CO2e,0.02524
3114,kg CO2e,530.77887
3115,kg CO2e,0.09289
3116,kg CO2e,0.04198
3117,kg CO2e,0.03789
3118,kg CO2e,912.22817
3119,kg CO2e,0.41277
31110,kg CO2e,0.07214
31111,kg CO2e,0.06512
31112,kg CO2e,349.29282
31113,kg CO2e,0.18551
31114,kg CO2e,0.02736
31115,kg CO2e,0.02548
31116,kg CO2e,423.16368
31117,kg CO2e,0.3366
31118,kg CO2e,0.03347
31119,kg CO2e,0.03021
31120,kg CO2e,423.16368
31121,kg CO2e,0.3366
31122,kg CO2e,0.03347
31123,kg CO2e,0.03021
31124,kg CO2e,302.95197
31125,kg CO2e,0.11097
31126,kg CO2e,0.0234
31127,kg CO2e,0.02153
31128,kg CO2e,352.67018
31129,kg CO2e,0.1817
31130,kg CO2e,0.02736
31131,kg CO2e,0.02519
3120,kg CO2e,813.26357
3121,kg CO2e,0.61425
3122,kg CO2e,0.06582
3123,kg CO2e,0.06253
3124,kg CO2e,661.79468
3125,kg CO2e,0.52817
3126,kg CO2e,0.05424
3127,kg CO2e,0.05153
3128,kg CO2e,660.82605
3129,kg CO2e,0.53078
31210,kg CO2e,0.05424
31211,kg CO2e,0.05153
31212,kg CO2e,733.64436
31213,kg CO2e,0.61101
31214,kg CO2e,0.06181
31215,kg CO2e,0.05816
31216,kg CO2e,752.0276
31217,kg CO2e,0.62409
31218,kg CO2e,0.06291
31219,kg CO2e,0.05913
31220,kg CO2e,714.86545
31221,kg CO2e,0.69539
31222,kg CO2e,0.06291
31223,kg CO2e,0.05913
31224,kg CO2e,743.83524
31225,kg CO2e,0.62665
31226,kg CO2e,0.06291
31227,kg CO2e,0.05913
31228,kg CO2e,1116.83712
31229,kg CO2e,
31230,kg CO2e,0.09828
31231,kg CO2e,0.09238
31232,kg CO2e,640.41464
31233,kg CO2e,
31234,kg CO2e,0.05076
31235,kg CO2e,0.04822
31236,kg CO2e,777.33392
31237,kg CO2e,0.58094
31238,kg CO2e,0.0648
31239,kg CO2e,0.0614
31240,kg CO2e,815.93523
31241,kg CO2e,0.60664
31242,kg CO2e,0.06582
31243,kg CO2e,0.06253
31244,kg CO2e,1132.08149
31245,kg CO2e,1.10125
31246,kg CO2e,0.09962
31247,kg CO2e,0.09364
31248,kg CO2e,1123.49881
31249,kg CO2e,0.9465
31250,kg CO2e,0.09501
31251,kg CO2e,0.08931
31252,kg CO2e,348.98258
31253,kg CO2e,
31254,kg CO2e,0.03077
31255,kg CO2e,0.02923
31256,kg CO2e,1116.83712
31257,kg CO2e,
31258,kg CO2e,0.09526
31259,kg CO2e,0.08895
31260,kg CO2e,743.83524
31261,kg CO2e,0.62665
31262,kg CO2e,0.06291
31263,kg CO2e,0.05913
31264,kg CO2e,714.86545
31265,kg CO2e,0.69539
31266,kg CO2e,0.06291
31267,kg CO2e,0.05913
3130,kg CO2e,418.14964
3131,kg CO2e,0.05925
3132,kg CO2e,0.05629
3133,kg CO2e,390.06647
3134,kg CO2e,0.05925
3135,kg CO2e,0.05629
3136,kg CO2e,470.95724
3137,kg CO2e,0.05925
3138,kg CO2e,0.05629
3139,kg CO2e,497.73658
31310,kg CO2e,0.05925
31311,kg CO2e,0.05629
31312,kg CO2e,402.62468
31313,kg CO2e,0.04267
31314,kg CO2e,0.04053
31315,kg CO2e,389.45704
31316,kg CO2e,0.05925
31317,kg CO2e,0.05629
