TEMP_id,Scope,Level 1,Level 2,Level 3,Combustion or WTT,Level 4,Level 5,UOM,GHG/Unit,GHG Conversion Factor,Year
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Butane,WTT,,,tonnes,kg CO2e,344.30947,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Butane,WTT,,,litres,kg CO2e,0.19765,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Butane,WTT,,,kWh (Net CV),kg CO2e,0.02736,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Butane,WTT,,,kWh (Gross CV),kg CO2e,0.02524,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,CNG,WTT,,,tonnes,kg CO2e,530.77887,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,CNG,WTT,,,litres,kg CO2e,0.09289,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,CNG,WTT,,,kWh (Net CV),kg CO2e,0.04198,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,CNG,WTT,,,kWh (Gross CV),kg CO2e,0.03789,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,LNG,WTT,,,tonnes,kg CO2e,912.22817,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,LNG,WTT,,,litres,kg CO2e,0.41277,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,LNG,WTT,,,kWh (Net CV),kg CO2e,0.07214,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,LNG,WTT,,,kWh (Gross CV),kg CO2e,0.06512,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,LPG,WTT,,,tonnes,kg CO2e,349.29282,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,LPG,WTT,,,litres,kg CO2e,0.18551,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,LPG,WTT,,,kWh (Net CV),kg CO2e,0.02736,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,LPG,WTT,,,kWh (Gross CV),kg CO2e,0.02548,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,WTT,,,tonnes,kg CO2e,423.16368,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,WTT,,,cubic metres,kg CO2e,0.3366,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,WTT,,,kWh (Net CV),kg CO2e,0.03347,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas,WTT,,,kWh (Gross CV),kg CO2e,0.03021,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),WTT,,,tonnes,kg CO2e,423.16368,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),WTT,,,cubic metres,kg CO2e,0.3366,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),WTT,,,kWh (Net CV),kg CO2e,0.03347,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Natural gas (100% mineral blend),WTT,,,kWh (Gross CV),kg CO2e,0.03021,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,WTT,,,tonnes,kg CO2e,302.95197,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,WTT,,,litres,kg CO2e,0.11097,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,WTT,,,kWh (Net CV),kg CO2e,0.0234,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Other petroleum gas,WTT,,,kWh (Gross CV),kg CO2e,0.02153,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Propane,WTT,,,tonnes,kg CO2e,352.67018,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Propane,WTT,,,litres,kg CO2e,0.1817,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Propane,WTT,,,kWh (Net CV),kg CO2e,0.02736,2025
1.3.1,Scope 3,WTT- fuels,Gaseous fuels,Propane,WTT,,,kWh (Gross CV),kg CO2e,0.02519,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Aviation spirit,WTT,,,tonnes,kg CO2e,813.26357,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Aviation spirit,WTT,,,litres,kg CO2e,0.61425,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Aviation spirit,WTT,,,kWh (Net CV),kg CO2e,0.06582,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Aviation spirit,WTT,,,kWh (Gross CV),kg CO2e,0.06253,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Aviation turbine fuel,WTT,,,tonnes,kg CO2e,661.79468,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Aviation turbine fuel,WTT,,,litres,kg CO2e,0.52817,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Aviation turbine fuel,WTT,,,kWh (Net CV),kg CO2e,0.05424,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Aviation turbine fuel,WTT,,,kWh (Gross CV),kg CO2e,0.05153,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Burning oil,WTT,,,tonnes,kg CO2e,660.82605,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Burning oil,WTT,,,litres,kg CO2e,0.53078,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Burning oil,WTT,,,kWh (Net CV),kg CO2e,0.05424,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Burning oil,WTT,,,kWh (Gross CV),kg CO2e,0.05153,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),WTT,,,tonnes,kg CO2e,733.64436,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),WTT,,,litres,kg CO2e,0.61101,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),WTT,,,kWh (Net CV),kg CO2e,0.06181,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),WTT,,,kWh (Gross CV),kg CO2e,0.05816,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),WTT,,,tonnes,kg CO2e,752.0276,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),WTT,,,litres,kg CO2e,0.62409,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),WTT,,,kWh (Net CV),kg CO2e,0.06291,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),WTT,,,kWh (Gross CV),kg CO2e,0.05913,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,WTT,,,tonnes,kg CO2e,714.86545,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,WTT,,,litres,kg CO2e,0.69539,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,WTT,,,kWh (Net CV),kg CO2e,0.06291,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,WTT,,,kWh (Gross CV),kg CO2e,0.05913,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,WTT,,,tonnes,kg CO2e,743.83524,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,WTT,,,litres,kg CO2e,0.62665,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,WTT,,,kWh (Net CV),kg CO2e,0.06291,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,WTT,,,kWh (Gross CV),kg CO2e,0.05913,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,WTT,,,tonnes,kg CO2e,1116.83712,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,WTT,,,litres,kg CO2e,,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,WTT,,,kWh (Net CV),kg CO2e,0.09828,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,WTT,,,kWh (Gross CV),kg CO2e,0.09238,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,WTT,,,tonnes,kg CO2e,640.41464,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,WTT,,,litres,kg CO2e,,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,WTT,,,kWh (Net CV),kg CO2e,0.05076,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,WTT,,,kWh (Gross CV),kg CO2e,0.04822,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),WTT,,,tonnes,kg CO2e,777.33392,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),WTT,,,litres,kg CO2e,0.58094,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),WTT,,,kWh (Net CV),kg CO2e,0.0648,2025
